Obj,Organo,Procedimiento de adjudicación,Tipo de contrato,Importe de licitación,Importe de adjudicación,Identidad del adjudicatario,Ejercicio,Código Expediente,M
obras adecuación oficinas inaga zaragoza,INSTITUTO ARAGONÉS DE GESTIÓN AMBIENTAL,Por administración,Obras,7160.69,7160.69,EXPO ZARAGOZA EMPRESARIAL S.A.,2017,CONAD20177500000046,
"seguridad sede departamento educación, cultura y deporte en expo","EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Servicios,77077.0,75411.0,ILUNION SEGURIDAD S.A.,2017,CONAD20171800000239,
compra prendas trabajo guardería infantil santa maria del pilar,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,216.55,216.55,ANATOMICOS MADRID S.L.,2017,CONAD20171800000298,
materiales para cromatografía líquidos y generalidades,SANIDAD,Abierto,Suministros,36964.0,42361.34,SUMINISTROS MATERIAL Y APARATOS DE,2017,CONLT20171600000006,
materiales para cromatografía gases e icp-ms,SANIDAD,Abierto,Suministros,17015.8,17736.6,ALFAQUIMIA SL,2017,CONLT20171600000007,
materiales para cromatografía iónica,SANIDAD,Abierto,Suministros,15762.66,15644.3,JAVIER SOLANAS LABOARAGON SL,2017,CONLT20171600000008,
material general laboratorio,SANIDAD,Abierto,Suministros,36103.07,28678.35,VIDRA FOC S.A.,2017,CONLT20171600000009,
vigilancia y seguridad residencias juveniles iaj 2017,INSTITUTO ARAGONÉS DE LA JUVENTUD,Derivado de acuerdo marco,Servicios,55920.78,55920.78,GARDA SERVICIOS DE SEGURIDAD S.A.,2017,CONAD20175500000022,
i-170018 mantenimiento aplicaciones cartograficas inf. georreferenciada,INSTITUTO ARAGONÉS DE GESTIÓN AMBIENTAL,Negociado,Servicios,23850.0,23832.0,SOFTWARE GRUPO V SL,2017,CONMY20177500000054,
compra prendas trabajo santo angel custodio,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,881.38,881.38,EL CORTE INGLES S.A.,2017,CONAD20171800000307,
compra prendas trabajo santo angel custodio,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,286.45,286.45,ANATOMICOS MADRID S.L.,2017,CONAD20171800000308,
suministro pesacartas para espacio empresas,INSTITUTO ARAGONÉS DE EMPLEO,Derivado de acuerdo marco,Suministros,57.0,29.0,SOLITIUM S.L.,2017,CONAD20175100000121,
arrendamiento vehículo representación departamento ciudadanía,CIUDADANÍA Y DERECHOS SOCIALES,Negociado,Suministros,33084.3,23604.49,BANCO SANTANDER S.A.,2017,CONMY20171100000012,
material limpieza,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Abierto,Suministros,15731.36,10120.42,LIDERA HIGIENE SL,2017,CONLT20175300000030,
productos de limpieza,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Abierto,Suministros,1622.02,1111.06,CELQUISA S.L.LABORAL,2017,CONLT20175300000031,
productos de aseo personal,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Abierto,Suministros,1531.13,713.8,CELQUISA S.L.LABORAL,2017,CONLT20175300000032,
productos tren lavado,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Abierto,Suministros,3656.2,2259.68,DISTRIBUCIONES NAVARRO-MIR S.L.,2017,CONLT20175300000033,
productos desechables,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Abierto,Suministros,23667.16,14842.73,CELQUISA S.L.LABORAL,2017,CONLT20175300000034,
145 tb73470 mto y control visit teruel,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,89434.47,89434.47,SDAD ARAGONESA DE GESTION,2017,CONAD20171400000043,
seguridad en edificios institucionales gobierno de aragón,PRESIDENCIA,Derivado de acuerdo marco,Servicios,2057562.26,2044840.96,CIA VIGILANCIA ARAGONESA S.L.,2017,CONAD20171000000071,
equipos multifuncion 03-17,SANIDAD,Derivado de acuerdo marco,Suministros,17075.55,9765.0,SOLITIUM S.L.,2017,CONAD20171600000142,
"implantes, mallas, agujas y diverso mat. quirurgico",SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,1787.5,1787.5,INTERSURGICAL ESPAÑA S.L.,2017,CONEX20175200000751,
"mantenimiento preventivo, correctivo y técnico legal del tac",SERVICIO ARAGONÉS DE SALUD,Abierto,Servicios,38016.52,36115.7,"SIEMENS HEALTHCARE, S.L.",2017,CONEX20175200000758,
servicio de vigilancia y seguridad en el hospital de alcañiz,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,100036.26,99613.5,EULEN SEGURIDAD S.A.,2017,CONEX20175200000791,
p.c. 1ha/2017 realización de tacs en instalaciones móviles,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,118687.55,105295.0,QDIAGNOSTICA,2017,CONEX20175200000792,
resonancias magnéticas en instalaciones fijas,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,2440.0,2440.0,"CLINICA MONTPELLIER GRUPO HLA, SAU",2017,CONEX20175200000800,
resonancias magnéticas en instalaciones fijas,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,1170.52,1170.52,DRA ROCA DIAGNOSTICO MEDICO S.L.,2017,CONEX20175200000801,
resonancias magnéticas en instalaciones fijas,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,1110.0,1110.0,PARACELSO DIAGNOSTICO MEDICO S.L.,2017,CONEX20175200000802,
procedimientos diagnósticos de neurofisiología,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,3924.0,3924.0,"NFC Y SUEÑO, SL",2017,CONEX20175200000803,
resonancias magnéticas en instalaciones fijas,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,1200.0,1200.0,"CLINICA MONTPELLIER GRUPO HLA, SAU",2017,CONEX20175200000804,
resonancias magnéticas en instalaciones fijas,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,738.5,738.5,DRA ROCA DIAGNOSTICO MEDICO S.L.,2017,CONEX20175200000805,
gasoleo calefaccion,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,873.44,873.44,REPSOL COMERCIAL DE PRODUCTOS,2017,CONEX20175200000937,
gasoleo calefaccion,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,474.57,474.57,REPSOL COMERCIAL DE PRODUCTOS,2017,CONEX20175200000938,
procedimientos diagnósticos de neurofisiología,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,3411.0,3411.0,"NFC Y SUEÑO, SL",2017,CONEX20175200000806,
material de neuroestimulacion de raices sacras para urologia,SERVICIO ARAGONÉS DE SALUD,Negociado,Suministros,172079.4,168139.52,MEDTRONIC IBERICA S.A.,2017,CONEX20175200000812,
"diverso material quirurgico, curas y asistencial",SERVICIO ARAGONÉS DE SALUD,Negociado,Suministros,2747.25,2497.5,TELEFLEX MEDICAL S.A.,2017,CONEX20175200000814,
"diverso material quirurgico, curas y asistencial",SERVICIO ARAGONÉS DE SALUD,Negociado,Suministros,5426.0,5426.0,IBERHOSPITEX S.A.,2017,CONEX20175200000814,
"diverso material quirurgico, curas y asistencial",SERVICIO ARAGONÉS DE SALUD,Negociado,Suministros,1168.8,1159.6,EL CORTE INGLES S.A.,2017,CONEX20175200000814,
"diverso material quirurgico, curas y asistencial",SERVICIO ARAGONÉS DE SALUD,Negociado,Suministros,5829.0,5829.0,BEORTEK S.A.,2017,CONEX20175200000814,
"diverso material quirurgico, curas y asistencial",SERVICIO ARAGONÉS DE SALUD,Negociado,Suministros,1975.0,1975.0,GRUPO TAPER S.A.,2017,CONEX20175200000814,
"diverso material quirurgico, curas y asistencial",SERVICIO ARAGONÉS DE SALUD,Negociado,Suministros,5653.9,5653.9,SUMINISTROS CLINICOS LANAU SL,2017,CONEX20175200000814,
1704 atencion psicologica teruel a mujeres en especial situacion de necesid,INSTITUTO ARAGONÉS DE LA MUJER,Abierto,Servicios,48750.0,32600.0,FUNDACION ADCARA,2017,CONMY20175400000081,
"c19/2016 edar's de plaza, la muela y epila. mantenimiento",INSTITUTO ARAGONÉS DEL AGUA,Abierto,Servicios,2053671.38,1594545.24,SA AGRICULTORES VEGA DE VALENCIA-,2017,CONMY20177200000028,
obras actuaciones previas acondicionamiento parcela hosp. alcañiz,SERVICIO ARAGONÉS DE SALUD,Abierto,Obras,173316.91,91153.0,ARAGONESA OBRAS CIVILES SL,2017,CONMY20175200001041,
servicios colaboración con interv.general cert.feaga-feader 2018-2019,HACIENDA Y ADMINISTRACIÓN PÚBLICA,Abierto,Servicios,170000.0,168000.0,GRANT THORNTON SL PROFESIONAL,2017,CONMY20171200000135,
servicio de vigilancia residencia cesaraugusta y centro juslibol,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Derivado de acuerdo marco,Servicios,2232463.38,1661261.93,UTE-CIS COMPAÑIA INTEGRAL DE,2017,CONAD20175300000645,
2017-tratamientos aereos contra langosta,DESARROLLO RURAL Y SOSTENIBILIDAD,Abierto,Servicios,71145.0,64134.0,TRATAMIENTOS AGRICOLAS AEREOS,2017,CONMY20171400000452,
serv. arrend. de maq. y prov. de mater. en crtra. a-1702.-ejulve-organos de,"VERTEBRACIÓN DEL TERRITORIO, MOVILIDAD Y VIVIENDA",Abierto,Servicios,314049.59,274300.41,EZAGUE S.L.,2017,CONMY20171300000159,
plan de evaluacio de indicadores pdr 2014-2020 a160005,DESARROLLO RURAL Y SOSTENIBILIDAD,Abierto,Servicios,71000.0,63525.0,REGIO PLUS CONSULTING SL,2017,CONMY20171400000550,
