Año,Mes,Descripcion Centro,Organismo,Numero Contrato,Numero Expediente,Descripcion Contrato,Tipo Contrato,Procedimiento Adjudicacion,Articulo,Apartado,Criterios Adjudicacion,Presupuesto Total(IVA Incluido),Importe Adjudicacion (IVA Incluido),Plazo,Fecha Adjudicacion,Nombre/Razon Social,NIF/CIF Adjudicatario,Fecha Formalizacion,Tiene acuerdo Marco,Tiene ingreso/coste cero,Adjudicado por precios unitarios
2020,Enero,Empresas,"Madrid Destino, Cultura, Turismo Y Negocio, S.A.",202000001,MDC/2019/00177,espectaculo teatral quien es el sr schmitt en la sala principal del teatro del 16 de octubre al 10 de noviembre (t.espaol),Servicios,Negociado sin publicidad,168,a) apartado 2,,362802.0,185975.62,1.93,2019-09-13T00:00:00Z,El Angel De Pekin,B82917063,2019-09-13T00:00:00Z,false,false,false
2020,Enero,Empresas,"Empresa Mixta Club De Campo Villa De Madrid, S.A.",202000002,CCV/2019/00643,"gestion del area de fitness del ccvm, sa.",Servicios,Abierto,,,Pluralidad de criterios,423500.0,405350.0,12,2019-04-09T00:00:00Z,Corporafit Sl,B82686817,2019-09-17T00:00:00Z,false,false,false
2020,Enero,Empresas,"Empresa Mixta Club De Campo Villa De Madrid, S.A.",202000003,CCV/2019/00907,servicio de delegado de campos de hockey para los partidos,Servicios,Abierto,,,Un unico criterio,21780.0,21780.0,18,2019-11-25T00:00:00Z,Daniel Paglilla Ham,54477104V,2019-11-27T00:00:00Z,false,false,false
2020,Enero,Empresas,"Empresa Mixta Club De Campo Villa De Madrid, S.A.",202000004,CCV/2019/00955,servicio asistencia tecnica especializada para programacion y organizacion de servicios y actividades socioculturales,Servicios,Abierto,,,Pluralidad de criterios,520300.0,409977.91,22,2019-10-09T00:00:00Z,"Hartford, S.L.",B59416479,2019-10-29T00:00:00Z,false,false,false
2020,Enero,Empresas,"Empresa Mixta Club De Campo Villa De Madrid, S.A.",202000005,CCV/2019/01180,"reparacion de la cubierta y de reforma interior del edificio de la cuadra n.6 del ccvm, sa",Obras,Abierto,,,Pluralidad de criterios,339063.24,338579.24,5,2019-09-30T00:00:00Z,Construcciones Taboada Y Ramos Sl,B36052876,2019-09-10T00:00:00Z,false,false,false
2020,Enero,Empresas,"Madrid Destino, Cultura, Turismo Y Negocio, S.A.",202000006,MDC/2019/00225,"organizacion, ejecucion y representacion de espectaculos dentro del ciclo de poesia contemporanea ""poetica contemporanea"" en teatro fernan gomez. centro cultural de la villa",Servicios,Negociado sin publicidad,168,a) apartado 2,,32461.88,32461.88,6.2,2019-11-22T00:00:00Z,Asociacion Cultural Libre Expresion Artisitica - L.E.A.,G87400339,2019-10-12T00:00:00Z,false,false,false
2020,Enero,Empresas,"Madrid Destino, Cultura, Turismo Y Negocio, S.A.",202000007,MDC/2019/00224,pr19-0436 representacion artistica teatral rebota rebota y en tu cara explota en la sala margarita xirgu  del 26 de diciembre de 2019 al 4 de enero de 2020(t.espaol),Servicios,Negociado sin publicidad,168,a) apartado 2,,20570.0,20570.0,1.5,2019-11-19T00:00:00Z,Associacio Cultural Elclimamola,G63850283,2019-11-20T00:00:00Z,false,false,false
2020,Enero,Empresas,Empresa Municipal De Transportes S.A.,202000008,EMT/2019/00079,"suministro maquina de 1 expendedora epis, 3 estaciones automaticas de recuperacion, reciclaje, vacio y carga para gas 134,  2 aspiradoras y 11 alfombras antifatiga - lote 1",Suministro,Abierto simplificado,,,Un unico criterio,14520.0,14520.0,3,2019-06-11T00:00:00Z,Gestion Y Negocios Eureka S.L.,B74072695,2019-02-12T00:00:00Z,false,false,false
2020,Enero,Empresas,Empresa Municipal De Transportes S.A.,202000009,EMT/2019/00079,"suministro maquina de 1 expendedora epis, 3 estaciones automaticas de recuperacion, reciclaje, vacio y carga para gas 134,  2 aspiradoras y 11 alfombras antifatiga - lote 3",Suministro,Abierto simplificado,,,Un unico criterio,895.4,798.6,3,2019-06-11T00:00:00Z,"Ferreteria Ibermadrid, S.A.",A80887201,2019-02-12T00:00:00Z,false,false,false
2020,Enero,Empresas,Empresa Municipal De Transportes S.A.,202000010,EMT/2019/00079,"suministro maquina de 1 expendedora epis, 3 estaciones automaticas de recuperacion, reciclaje, vacio y carga para gas 134,  2 aspiradoras y 11 alfombras antifatiga - lote 2",Suministro,Abierto simplificado,,,Un unico criterio,12705.0,10762.95,3,2019-06-11T00:00:00Z,"Alcaner 2000, S.L.U.",B81952913,2019-02-12T00:00:00Z,false,false,false
