Contract Number,Contractor                       Name,Short                                  Description,Full                                                       Description,Contract Status,Contract Type,Contract Entered,Contract                Expiration,Contract Amendments,Last                             Amendment,Original                                 Amount,Contract                                           Total,Managing                                                    Division
000061,AMERICAN RED CROSS,American Red Cross,MOU -- Disaster Preparedness Agreement,A,zgovpurag,12/01/1997,01/01/3000,0,,0.00,0.00,Public Safety Administration
000182,STATE BOARD OF EQUALIZATION,California State Board of Equalization,Agreement for State Administration of Local Sales and use Taxes,A,zgovpurag,11/29/1984,01/01/3000,0,,0.00,0.00,Information Technology
000207,CEDARS-SINAI MEDICAL CENTER,Cedars Sinai Health Systems,Employee Assistance Program,A,profsvcs,11/03/1997,01/01/3000,0,,0.00,0.00,Human Resources
000332,GREAT-WEST LIFE & ANNUITY,Great-West Life & Annuity,Deferred Comp Section 457,A,profsvcs,11/24/1998,01/01/3000,0,,0.00,0.00,Human Resources
000380,BEST BEST & KRIEGER LLP,LEGAL SERVICES,"City Attorney. Amendment #1 was Council approved 5/19/08.  Amend. #2 increases amount for general legal services.  Amend. #3 changes vendor from Jenkins  & Hogin to Best, Best & Krieger, LLP, and revises vendor number to #327571 effective 4/1/18. There is no not-to-exceed amount.  This contract is adjusted annually.",A,profsvcs,03/01/2001,01/01/3000,6,06/28/2019,0.00,"1,778,632.00",City Attorney
000409,CITY OF LAKE FOREST,"Lake Forest, City of",Joint Exercise of Powers Agreement,A,zgovpurag,11/04/1997,01/01/3000,0,,0.00,0.00,Finance Administration
000441,LA CO/ASSESSOR,Los Angeles County,Database License Agreement,A,zgovpurag,07/25/1995,01/01/3000,0,,0.00,0.00,Finance Administration
000443,LA CO/PUBLIC WORKS,Los Angeles County,Traffic Signal Maintenance and Street Lights Maintenance,A,pworks,04/18/1995,01/01/3000,0,,0.00,0.00,Engineering
000449,LA CO/PUB WORKS (STREET MAINT),"Los Angeles, City of",Traffic Signal Maintenance,A,pworks,04/13/1994,01/01/3000,0,,0.00,0.00,Engineering
000450,LA CO/PUB WORKS (STREET MAINT),"Los Angeles, City of",Street Light Maintenance,A,pworks,02/08/1988,01/01/3000,0,,0.00,0.00,Engineering
000456,CITY OF WEST HOLLYWOOD,Los Angeles County Services Liability Ag,County Liability Agreement,A,zgovpurag,11/30/1984,01/01/3000,0,,0.00,0.00,Engineering
000457,CITY OF WEST HOLLYWOOD,Los Angeles County Joint Powers Agreemen,Emergency Management Assistance,A,zgovpurag,01/01/1900,01/01/3000,0,,0.00,0.00,Public Safety Administration
000458,CITY OF WEST HOLLYWOOD,Los Angeles County,Examination of Tract & Parcel Maps,A,pworks,07/15/1991,01/01/3000,0,,0.00,0.00,Engineering
000459,LA CO/PUB WORKS (STREET MAINT),Los Angeles County,Flood Control District,A,zgovpurag,06/15/1992,01/01/3000,0,,0.00,0.00,Engineering
000465,LA CO/PUB WORKS (STREET MAINT),Los Angeles County,Industrial Waste Enforcement,A,zgovpurag,11/24/1984,01/01/3000,0,,0.00,0.00,Engineering
000467,LA CO/PUBLIC WORKS,Los Angeles County,Public Works Mutual Aid,A,zgovpurag,01/01/1900,01/01/3000,0,,0.00,0.00,Engineering
000468,LA CO/PUB WORKS (STREET MAINT),Los Angeles County,Public Sanitary Sewer Maintenance Agreement,A,zgovpurag,07/01/1990,01/01/3000,0,,0.00,0.00,Engineering
000470,LA CO/INTERNAL SERVICES,Los Angeles County,Purchasing & Central Services,A,zgovpurag,12/29/1992,01/01/3000,0,,0.00,0.00,Finance Administration
000541,PERS / RETIREMENT DIVISION,PERS Retirement Plan,Citywide Employee Retirement Plan,A,zgovpurag,08/13/1986,01/01/3000,0,,0.00,0.00,Human Resources
