CAE_ID,NOTICE_ID,ID_TYPE,DT_DISPATCH,CANCELLED,B_MULTIPLE_CAE,CAE_NAME,CAE_NATIONALID,CAE_TOWN,CAE_TOWN_LINK,CAE_POSTAL_CODE,ISO_COUNTRY_CODE,CAE_COUNTRY_LINK,CAE_TYPE,MAIN_ACTIVITY,TYPE_OF_CONTRACT,CPV,B_GPA,VALUE_EURO_FIN_2,B_EU_FUNDS,DURATION,TOP_TYPE,B_ELECTRONIC_AUCTION
201871PL,201871,2,2017-12-29,0,false,Miejskie Wodociągi i Kanalizacja w Kędzierzynie-Koźlu Sp. z o.o.,,Kędzierzyn-Koźle,http://www.wikidata.org/entity/Q605483,47-200,Poland,http://www.wikidata.org/entity/Q36,6,General public\services,W,45000000.0,false,,false,20.49,OPE,false
201878PL,201878,2,2017-12-30,0,false,Państwowe Gospodarstwo Leśne Lasy Państwowe Nadleśnictwo Prudnik,,Prudnik,http://www.wikidata.org/entity/Q986984,48-200,Poland,http://www.wikidata.org/entity/Q36,8,Other,W,45200000.0,false,,true,7.01,OPE,false
2018154HU,2018154,2,2017-12-29,0,false,Állami Szívkórház,AK00164,Balatonfüred,http://www.wikidata.org/entity/Q680743,8230,Hungary,http://www.wikidata.org/entity/Q28,8,Health,U,15000000.0,true,494270.49,false,11.97,OPE,false
2018155DE,2018155,2,2017-12-29,0,false,"Präsidium Technik, Logistik, Service der Polizei",,Stuttgart,http://www.wikidata.org/entity/Q1022,70372,Germany,http://www.wikidata.org/entity/Q183,1,Public Order and Safety,U,34100000.0,false,,false,32.8,OPE,false
2018164HU,2018164,2,2017-12-29,0,false,Kormányzati Informatikai Fejlesztési Ügynökség,AK06203,Budapest,http://www.wikidata.org/entity/Q1781,1027,Hungary,http://www.wikidata.org/entity/Q28,8,Other,U,30236000.0,false,,false,6.48,OPE,false
2018185PL,2018185,2,2017-12-29,0,false,Wojewódzka Stacja Pogotowia Ratunkowego i Transportu Sanitarnego &quot;Meditrans&quot; SPZOZ w Warszawie,,Warsaw,http://www.wikidata.org/entity/Q270,00-685,Poland,http://www.wikidata.org/entity/Q36,6,Health,U,33140000.0,false,64996,false,11.97,OPE,false
2018202HU,2018202,2,2017-12-29,0,false,Szociális és Gyermekvédelmi Főigazgatóság,AK17756,Budapest,http://www.wikidata.org/entity/Q1781,1132,Hungary,http://www.wikidata.org/entity/Q28,N,Social protection,U,9310000.0,false,,false,11.97,OPE,true
2018231DE,2018231,2,2017-12-30,0,false,"Kommunale Unfallversicherung Bayern (KUVB), München",,Munich,http://www.wikidata.org/entity/Q1726,80805,Germany,http://www.wikidata.org/entity/Q183,6,Health,U,30200000.0,true,,false,1.02,OPE,false
2018257FR,2018257,2,2017-12-29,0,true,CHU Saint-Etienne---GCS Uniha,,Lyon,http://www.wikidata.org/entity/Q456,42055---69003,France,http://www.wikidata.org/entity/Q142,8,Health,U,33124131.0,true,4000000,false,7.01,OPE,false
2018415DE,2018415,2,2017-12-29,0,false,Thüringer Ministerium für Infrastruktur und Landwirtschaft,,Erfurt,http://www.wikidata.org/entity/Q1729,99096,Germany,http://www.wikidata.org/entity/Q183,1,General public\services,S,60210000.0,false,,false,60.1,NIC,false
