Ambit subjectiu,Organ de contractacio,Codi de expedient,id,Objecte del contracte,Descripcio de la prestacio,Tipus de contracte,Pressupost de licitacio,Data de publicacio,Empresa adjudicataria,Import de adjudicacio,Enllace a la publicacio,Codi CPV,Data de adjudicacio
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),1101192853,0000,CABINA SEGURETAT CLASSE II,"Contractació d'aparells mèdics, de laboratori, equipament informàtic, equipament de teleassistència a domicili, materials per a equipament mèdic, mobiliari general i obres de condicionament general d'espais comuns de l'Hospital Universitari Germans Trias i Pujol",Obres,196017.22,2020-06-12T00:00:00Z,"NIRCO,S.L.",8064.9,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64029684&lawType=3,45215100,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1097,0001,SERVEI DE VIGILANCIA COVID 19,Serveis transversals Covid 19 - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA,Serveis,0,2020-07-23T00:00:00Z,"NARGY SERVICIOS AUXILIARES, S.L.",8407.21,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=66246380&lawType=3,79714000,2020-05-20T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),CS/AH02/1101195322/20/CMUI,0002,SUBMINISTRAMENT PORTASERUMS PER L'HOSPITAL UNIVERSITARI DE BELLVITGE,Subministrament portaserums per l'Hospital Universitari de Bellvitge,Subministraments,10014.6,2020-05-11T00:00:00Z,"MANMEDIC FIC, S.L.",10014.6,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62227171&lawType=3,33192000,2020-03-26T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),CSE/CC00/1101196622/20/CMUI,0003,CONTRACTACIÓ EMERGÈNCIA SERVEI DE TRANSPORT OCASIONAL,Contractació emergència servei de transport ocasional,Serveis,2679680.51,2020-07-10T00:00:00Z,DSV AIR & SEA SA,2679680.51,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65647785&lawType=3,60400000,2020-04-06T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut d'Assistència Sanitària (IAS),Z VELCRO SUBJECTA TUBS,0004,Publicació massiva de contractes tramitats d'emergència,"Publicació massiva de contractes tramitats d'emergència per part de Serveis Logistics de l'IAS, per atendre la pandèmia Covid_19 corresponent al mes de Maig 2020",Subministraments,139225.25,2020-06-30T00:00:00Z,MOLNLYCKE HEALTH CARE S.L.,127.6,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64945050&lawType=3,33140000,2020-06-25T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Fundació de Gestió Sanitària de l'Hospital de la Santa Creu i Sant Pau,COVID-19/MATERIAL LABORATORI,0005,ESCOVILLO FLOCK VIRUS 2ML,"Subministrament de material de laboratori, necessari per fer front a la pandèmia del COVID-19",Subministraments,0,2020-06-12T00:00:00Z,NIRCO SL,10509.3,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64037365&lawType=3,33140000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut d'Investigació Biomèdica de Girona (IDIBGI),202021,0006,Bates de proteccio talla M i L,Subministrament de material fungible i inventariable per situació d'emergència derivada de la COVID_19 per a l'IDIBGI.,Subministraments,137353.69,2020-06-19T00:00:00Z,L' ESTOR,5490,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64599454&lawType=3,33140000,2020-06-18T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de Catalunya,CTTI-2020-216,0007,"Servei de desenvolupament i evolució d'aplicacions del Departament de Salut i del Departamentde Treball, Afers Socials i Famílies de la Generalitat de Catalunya per atendre la emergència del COVID-19.","Servei de desenvolupament i evolució d'aplicacions del Departaments de Salut, Treball, Afers Socials i Famílies de la Generalitat de Catalunya, per atendre la emergència del COVID-19.",Serveis,85483,2020-07-02T00:00:00Z,"Viewnext, S.A.",85483,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64980968&lawType=3,72212517,2020-06-30T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Sanitari Integral,47,0008,cable interfície p.i per a icu medical i monitors de  constants vitals,Publicació massiva de contractes tramitats d'emergència 2020,Subministraments,0,2020-07-07T00:00:00Z,"MINDRAY MEDICAL ESPAÑA, SL",11928,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65297999&lawType=3,33140000,2020-07-07T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Mar Parc de Salut de Barcelona,219/2020,0009,"Auxiliar per fer les funcions de control d'entrades en un dels accessos d'Urgències de l'Hospital del Mar, les 24 hores, tots els dies de la setmana, mentre duri el dispositiu especial per atendre la pandèmia del COVID-19 durant el mes de maig",Publicació massiva de contractes tramitats per emergència de serveis relacionats amb les mesures adoptades per fer front a la situació de crisi sanitària ocasionada per la COVID-19 del Consorci Mar Parc de Salut de Barcelona (correspon al mes de maig).,Serveis,0,2020-06-30T00:00:00Z,"SABICO SEGURIDAD, S.A.",6993.6,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64920934&lawType=3,90910000,2020-06-22T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut d'Assistència Sanitària (IAS),CONTR/2020/0000000020,0010,Z ELECTRODE ADULT DESFIBRILADOR LIFEPACK,Subministrament de material sanitari corresponent al mes de març 2020 per atendre la urgència de la COVID_19 (Serveis Logístics) de L'IAS,Subministraments,226476.57,2020-05-15T00:00:00Z,STRYKER IBERIA SL,126.39,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62152530&lawType=3,33140000,2020-04-30T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut d'Assistència Sanitària (IAS),CONTR/2020/0000000021,0011,CIPROFLOXACINO GES 200 MG/100 ML (50 BOL,Subministrament de productes farmacèutics del mes de març 2020 per atendre la urgència de la COVID_19 (Servei de Farmacia) de l'IAS,Subministraments,225117.51,2020-05-15T00:00:00Z,ALTAN PHARMACEUTICALS S.A.U.,0,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62152874&lawType=3,33600000,2020-04-30T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020-1102,0012,CABALIMETRES AIRE SENCI.PARET DIN,2020-1102 - Subministrament d'equipament i mobiliari sanitari - Publicació MASSIVA contractes tramitats d'EMERGÈNCIA,Subministraments,0,2020-07-23T00:00:00Z,"HERSILL, S.L.",900,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=66328694&lawType=3,33192000,2020-05-26T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Agència de l'Habitatge de Catalunya,AHC-2020-00075,0013,Subministrament de mampares,Subministrament de mampares,Subministraments,2608.65,2020-04-28T00:00:00Z,Mobiliario de Oficina Montiel SL,2608.65,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=61708779&lawType=3,44212329,2020-04-17T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1026,0014,2020-1026 Subministrament de reactius per motiu del context general per la pandèmia del virus SARS-CoV-2,Subministrament de reactius per motiu del context general per la pandèmia del virus SARS-CoV-2,Subministraments,166954.1,2020-06-09T00:00:00Z,"ROCHE DIAGNOSTICS, S.L.",166954.1,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63818507&lawType=3,33696600,2020-03-18T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de Catalunya,CTTI-2020-113,0015,Subministrament de llicències de virtualització en l'àmbit de Salut,Subministrament de llicències de virtualització en l'àmbit de Salut per tal de permetre el treball remot dels professionals del SISCAT.,Subministraments,53069.89,2020-05-18T00:00:00Z,"TELEFÓNICA SOLUCIONES DE INFORMÁTICA YCOMUNICACIONES DE ESPAÑA, S.A.U.",53069.89,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62623917&lawType=3,48000000,2020-05-15T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),1101194321,0016,Connectors,"Subministrament d'aparells mèdics, materials per a equipament mèdic, mobiliari clínic i general i obres de condicionament per tal facilitar el tractament adequat de pacients afectats per SARS¿CoV¿2 de l'Hospital Universitari Germans Trias i Pujol",Subministraments,364225.45,2020-06-12T00:00:00Z,"GE HEALTHCARE ESPAÑA,SAU",1600,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64015443&lawType=3,33190000,2020-03-20T00:00:00Z
