rcn,id,acronym,status,programme,topics,title,startDate,endDate,projectUrl,objective,totalCost,ecMaxContribution,Coordinator,WikiCoordinator,coordinatorCountry,WikiCountry,participants,participantCountries
201304,705217,UPR,SIGNED,H2020-EU.1.3.2.,MSCA-IF-2015-GF,Unconditional parental regard: Its nature and its consequences,2016-06-01T00:00:00Z,2018-05-31T00:00:00Z,https://eddiebrummelman.com/,Unconditional parental regard refers to parents accepting children for who they are even when they disapprove of childrens achievements (eg school grades),162864.6,162864.6,University of Amsterdam,http://www.wikidata.org/entity/Q214341,Kingdom of the Netherlands,http://www.wikidata.org/entity/Q29999,,
215046,792202,LOFUPRO,CLOSED,H2020-EU.1.3.2.,MSCA-IF-2017,The Logical Function of Property Talk,2018-10-01T00:00:00Z,2020-09-30T00:00:00Z,https://www.thomasschindler.org/home/msca-project,Properties are those things that we attribute to objects such as the property of being red or the property of being a prime number,165598.8,165598.8,University of Amsterdam,http://www.wikidata.org/entity/Q214341,Kingdom of the Netherlands,http://www.wikidata.org/entity/Q29999,,
193633,639217,CSINEUTRONSTAR,SIGNED,H2020-EU.1.1.,ERC-StG-2014,The physics and forensics of neutron star explosions,2015-06-01T00:00:00Z,2020-05-31T00:00:00Z,https://staff.fnwi.uva.nl/a.l.watts/,Neutron stars offer a unique environment in which to develop and test theories of the strong force,1499999,1499999,University of Amsterdam,http://www.wikidata.org/entity/Q214341,Kingdom of the Netherlands,http://www.wikidata.org/entity/Q29999,,
195250,656333,PEACEFUL MIND,CLOSED,H2020-EU.1.3.2.,MSCA-IF-2014-EF,Effectiveness evaluation of traditional and third wave Emotion Regulation strategies in clinical and non-clinical youth population,2016-04-01T00:00:00Z,2018-09-28T00:00:00Z,https://majawrzesien.com/,Mental-Health problems in youth such as disruptive behavioural disorders substances abuse aggressive behaviors depression anxiety etc,177598.8,177598.8,University of Amsterdam,http://www.wikidata.org/entity/Q214341,Kingdom of the Netherlands,http://www.wikidata.org/entity/Q29999,,
197492,647209,Psychosystems,SIGNED,H2020-EU.1.1.,ERC-CoG-2014,Psychosystems: Consolidating Network Approaches to Psychopathology,2015-09-01T00:00:00Z,2021-08-31T00:00:00Z,http://www.psychosystems.org,I have recently introduced the Network Approach to Psychopathology,1959690,1959690,University of Amsterdam,http://www.wikidata.org/entity/Q214341,Kingdom of the Netherlands,http://www.wikidata.org/entity/Q29999,,
196589,659193,Evolutionary Neurogenomics,CLOSED,H2020-EU.1.3.2.,MSCA-IF-2014-EF,The impact of recent retrotransposon invasions on the evolution of human neural gene expression,2015-06-01T00:00:00Z,2017-05-31T00:00:00Z,http://www.frankjacobslab.com,Throughout evolution primate genomes have been under attack by different classes of retrotransposons retrovirus-derived mobile DNA elements,177598.8,177598.8,University of Amsterdam,http://www.wikidata.org/entity/Q214341,Kingdom of the Netherlands,http://www.wikidata.org/entity/Q29999,,
197940,671653,EXTRA,CLOSED,H2020-EU.1.2.2.,FETHPC-1-2014,Exploiting eXascale Technology with Reconfigurable Architectures,2015-09-01T00:00:00Z,2018-08-31T00:00:00Z,http://extrahpc.eu,To handle the stringent performance requirements of future exascale High Performance Computing (HPC) applications HPC systems need ultra-efficient heterogeneous compute nodes,3989931.25,3989930.5,Ghent University,http://www.wikidata.org/entity/Q1137665,Belgium,http://www.wikidata.org/entity/Q31,THE CHANCELLOR MASTERS AND SCHOLARSOF THE UNIVERSITY OF CAMBRIDGE-IMPERIAL COLLEGE OF SCIENCE TECHNOLOGY AND MEDICINE-EREVNITIKO PANEPISTIMIAKO INSTITOUTO TILEPIKONONIAKON SYSTIMATON-SYNELIXIS LYSEIS PLIROFORIKIS AUTOMATISMOU & TILEPIKOINONION ANONIMI ETAIRIA-RUHR-UNIVERSITAET BOCHUM-POLITECNICO DI MILANO-MAXELER TECHNOLOGIES LIMITED-UNIVERSITEIT VAN AMSTERDAM,UK-EL-DE-IT-NL
208712,751924,ConscriptedVolunteer,CLOSED,H2020-EU.1.3.2.,MSCA-IF-2016,Conscripted Volunteering: An Ethnographic Study of Community Engagement Schemes in the Israeli Military,2017-08-01T00:00:00Z,2019-07-31T00:00:00Z,https://aissr.uva.nl/content/research-groups/moving-matters/moving-matters.html,Militaries increasingly engage their soldiers in activities framed as community engagement or volunteering ranging from facilitating activities for children to delivering food to the needy,165598.8,165598.8,University of Amsterdam,http://www.wikidata.org/entity/Q214341,Kingdom of the Netherlands,http://www.wikidata.org/entity/Q29999,,
199996,693289,CoHERE,CLOSED,H2020-EU.3.6.,REFLECTIVE-2-2015,Critical Heritages: performing and representing identities in Europe,2016-04-01T00:00:00Z,2019-03-31T00:00:00Z,http://research.ncl.ac.uk/cohere/,CoHERE explores the ways in which identities in Europe are constructed through heritage representations and performances that connect to ideas of place history tradition and belonging,2499651.75,2499651.75,Newcastle University,http://www.wikidata.org/entity/Q837164,United Kingdom,http://www.wikidata.org/entity/Q145,MUZEUM HISTORII ZYDOW POLSKICH POLIN-AARHUS UNIVERSITET-ISTANBUL BILGI UNIVERSITESI-ETHNIKO KAI KAPODISTRIAKO PANEPISTIMIO ATHINON-Copenhagen Institute of Interaction Design-STICHTING NATIONAAL MUSEUM VAN WERELDCULTUREN-HERIOT-WATT UNIVERSITY-EUROPEES NETWERK CULTURELE CENTRA IVZW-ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA-LATVIJAS KULTURAS AKADEMIJA-UNIVERSITEIT VAN AMSTERDAM,PL-DK-TR-EL-NL-UK-BE-IT-LV
221876,822625,ADMIGOV,SIGNED,H2020-EU.3.6.1.1.+H2020-EU.3.6.1.2.,MIGRATION-02-2018,Advancing Alternative Migration Governance,2019-02-01T00:00:00Z,2023-01-31T00:00:00Z,http://admigov.eu,ADMIGOV aims to promote an alternative migration governance model,2788870,2788870,University of Amsterdam,http://www.wikidata.org/entity/Q214341,Kingdom of the Netherlands,http://www.wikidata.org/entity/Q29999,ADDIS ABABA UNIVERSITY-STICHTING NEDERLANDS INSTITUUT VOOR INTERNATIONALE BETREKKINGEN CLINGENDAEL-UNIWERSYTET WROCLAWSKI-American University of Beirut-DANSK FLYGTNINGEHJAELP FORENING-UNIVERSITEIT MAASTRICHT-UNIVERSITE LIBRE DE BRUXELLES-KOC UNIVERSITY-UNIVERSITAT DE BARCELONA-CENTRE D'INFORMACIO I DOCUMENTACIO INTERNACIONALS A BARCELONA-PANEPISTIMIO AIGAIOU-AALBORG UNIVERSITET,ET-NL-PL-LB-DK-BE-TR-ES-EL
198618,647314,Becoming Men,SIGNED,H2020-EU.1.1.,ERC-CoG-2014,Becoming Men: Performing responsible masculinities in contemporary urban Africa,2015-09-01T00:00:00Z,2020-08-31T00:00:00Z,http://www.becoming-men.org/,This anthropological study examines the reconfiguration of masculinities in urban Africa over the last 30 years,1999830,1999830,University of Amsterdam,http://www.wikidata.org/entity/Q214341,Kingdom of the Netherlands,http://www.wikidata.org/entity/Q29999,,
202800,702880,EDU-DEM,CLOSED,H2020-EU.1.3.2.,MSCA-IF-2015-EF,Democratization through Education? The role of education in strengthening civil agency and voice in Sub-Saharan Africa. (Case study: Uganda),2016-09-01T00:00:00Z,2019-05-01T00:00:00Z,http://politicsandvoice.com/,EDU-DEM advances our understanding of the role of education in fostering democratization processes in sub-Saharan Africa from the bottom up,165598.8,165598.8,University of Amsterdam,http://www.wikidata.org/entity/Q214341,Kingdom of the Netherlands,http://www.wikidata.org/entity/Q29999,,
195524,657904,PREF LEARNHEUR,CLOSED,H2020-EU.1.3.2.,MSCA-IF-2014-EF,Learning heuristics in preference elicitation tasks: insights from behavioural computational and neurobiological investigations,2015-05-01T00:00:00Z,2017-04-30T00:00:00Z,https://sites.google.com/site/maellebreton/home,Although decision theory assumes that when making a choice individuals attribute values to available options compare those values and select the option with the highest the succession of choices faced during classical preference elicitation tasks might trigger the emergence of additional heuristics implemented to perform those tasks in a fast yet adaptive manner,165598.8,165598.8,University of Amsterdam,http://www.wikidata.org/entity/Q214341,Kingdom of the Netherlands,http://www.wikidata.org/entity/Q29999,,
224117,857996,ERC VP CSA,CLOSED,H2020-EU.1.1.,IBA-ERC-VPRES-SUP-19,Support to the Vice-Presidents of the ERC Scientific Council 2019,2019-01-01T00:00:00Z,2019-12-31T00:00:00Z,https://www.uva.nl/,The European Research Council (ERC) provides a competitive platform for investigator-driven frontier research at the European level,281597.5,281597.5,University of Amsterdam,http://www.wikidata.org/entity/Q214341,Kingdom of the Netherlands,http://www.wikidata.org/entity/Q29999,EUROPEAN MOLECULAR BIOLOGY LABORATORY-UNIVERSITA DEGLI STUDI DI PADOVA,DE-IT
197534,671564,ComPat,CLOSED,H2020-EU.1.2.2.,FETHPC-1-2014,Computing Patterns for High Performance Multiscale Computing,2015-10-01T00:00:00Z,2018-09-30T00:00:00Z,http://www.compatproject.eu,Multiscale phenomena are ubiquitous and they are the key to understanding the complexity of our world,4122864.36,3942885,University of Amsterdam,http://www.wikidata.org/entity/Q214341,Kingdom of the Netherlands,http://www.wikidata.org/entity/Q29999,UNIVERSITEIT LEIDEN-ITMO UNIVERSITY-CBK SCI CON LIMITED-INSTYTUT CHEMII BIOORGANICZNEJ POLSKIEJ AKADEMII NAUK-BAYERISCHE AKADEMIE DER WISSENSCHAFTEN-UNITED KINGDOM RESEARCH AND INNOVATION-ARM LIMITED-BRUNEL UNIVERSITY LONDON-MAX-PLANCK-GESELLSCHAFT ZUR FORDERUNG DER WISSENSCHAFTEN EV-UNIVERSITY COLLEGE LONDON-ALLINEA SOFTWARE LIMITED,NL-RU-UK-PL-DE
198305,675743,ISPIC,CLOSED,H2020-EU.1.3.1.,MSCA-ITN-2015-ETN,Image-Guided Surgery (IGS) and Personalised Postoperative Immunotherapy To Improving Cancer Outcome,2016-01-01T00:00:00Z,2019-12-31T00:00:00Z,http://www.ispic.eu/,The basic concept of our proposal is to develop nanoparticle-based encapsulated libraries of different immunotherapeutic biomolecules for treatment after surgery as part of a novel cancer management strategy,3922309.44,3922309.44,Percuros (Netherlands),http://www.wikidata.org/entity/Q30265644,Kingdom of the Netherlands,http://www.wikidata.org/entity/Q29999,ACADEMISCH ZIEKENHUIS LEIDEN-MEDRES-MEDICAL RESEARCH GMBH-THE UNIVERSITY OF SHEFFIELD-JENACELL GMBH-TECOBIOSCIENCES GMBH-UNIVERSITA DEGLI STUDI DI CAMERINO-UNIVERSITEIT MAASTRICHT-ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE-ERASMUS UNIVERSITAIR MEDISCH CENTRUM ROTTERDAM-HELSE BERGEN HF*HAUKELAND UNIVERSITY HOSPITAL-UNIVERSITETET I BERGEN-TECHNISCHE UNIVERSITEIT DELFT-UNIVERSITEIT VAN AMSTERDAM,NL-DE-UK-IT-CH-NO
198443,647316,EUROPINIONS,SIGNED,H2020-EU.1.1.,ERC-CoG-2014,Causes and consequences of change in public opinion about Europe,2015-09-01T00:00:00Z,2020-08-31T00:00:00Z,https://www.polcomm.org/research/erc-europinions/,Causes and consequences of change in public opinion about Europe Public opinion towards European integration and the EU is divided especially in the wake of the economic crisis,2000000,2000000,University of Amsterdam,http://www.wikidata.org/entity/Q214341,Kingdom of the Netherlands,http://www.wikidata.org/entity/Q29999,,
201030,702402,ORCA,CLOSED,H2020-EU.1.3.2.,MSCA-IF-2015-EF,Oscillatory long-Range Coherence in Attention,2016-08-01T00:00:00Z,2018-11-20T00:00:00Z,https://www.heleenslagter.com/,Attention -the ability to focus selectively on task relevant information and resist distraction- plays a critical role in many everyday life situations such as in school or while driving,177598.8,177598.8,University of Amsterdam,http://www.wikidata.org/entity/Q214341,Kingdom of the Netherlands,http://www.wikidata.org/entity/Q29999,,
205337,702642,HOXA9 degradome,SIGNED,H2020-EU.1.3.2.,MSCA-IF-2015-GF,Deciphering the machinery involved in stability of the transcription factor HOXA9.,2016-11-07T00:00:00Z,2019-11-06T00:00:00Z,https://ebertlab.dana-farber.org/,Transcription factors are often mutated or aberrantly expressed in cancer and drive carcinogenesis,239860.8,239860.8,German Cancer Research Center,http://www.wikidata.org/entity/Q449325,Germany,http://www.wikidata.org/entity/Q183,,
195013,654912,Pharmcophore-DOS,CLOSED,H2020-EU.1.3.2.,MSCA-IF-2014-EF,Pharmacophore guided diversity-oriented synthesis and its application in discovering inhibitors of protein-protein interactions between RAD51 and BRCA2,2015-06-01T00:00:00Z,2017-05-31T00:00:00Z,http://www-spring.ch.cam.ac.uk/research/research.shtml,The proposed research aims at discovering inhibitors of protein-protein interaction (PPI) between RAD51 and BRCA2 as a promising treatment of cancer in particular to reverse the resistance of cancer cells to radiotherapy and cytotoxic chemotherapy,195454.8,195454.8,University of Cambridge,http://www.wikidata.org/entity/Q35794,United Kingdom,http://www.wikidata.org/entity/Q145,,
200480,678316,OptiQ-CanDo,SIGNED,H2020-EU.1.1.,ERC-StG-2015,Hybrid Optical Interferometry for Quantitative Cancer Cell Diagnosis,2016-07-01T00:00:00Z,2021-06-30T00:00:00Z,http://www.eng.tau.ac.il/,A major challenge in the field of optical imaging of live cells is to achieve label-free but still fully quantitative measurements which afford high-resolution morphological and mechanical mapping at the single cell level,1916250,1916250,Tel Aviv University,http://www.wikidata.org/entity/Q319239,Israel,http://www.wikidata.org/entity/Q801,,
199576,678461,AcetyLys,SIGNED,H2020-EU.1.1.,ERC-StG-2015,Unravelling the role of lysine acetylation in the regulation of glycolysis in cancer cells through the development of synthetic biology-based tools,2016-07-01T00:00:00Z,2021-06-30T00:00:00Z,https://eyalrb.wixsite.com/arbelylab,Synthetic biology is an emerging discipline that offers powerful tools to control and manipulate fundamental processes in living matter,1499375,1499375,Ben-Gurion University of the Negev,http://www.wikidata.org/entity/Q737332,Israel,http://www.wikidata.org/entity/Q801,,
204440,679681,Tamed Cancer,SIGNED,H2020-EU.1.1.,ERC-StG-2015,Personalized Cancer Therapy by Model-based Optimal Robust Control Algorithm,2016-07-01T00:00:00Z,2021-06-30T00:00:00Z,http://physcon.uni-obuda.hu/,Imagine if tumor growth would be reduced and then kept in a minimal and safe volume in an automated manner and in a personalized way i,1015900,1015900,Óbuda University,http://www.wikidata.org/entity/Q1412435,Hungary,http://www.wikidata.org/entity/Q28,SEMMELWEIS EGYETEM,HU
215515,797150,MELANCHOR,CLOSED,H2020-EU.1.3.2.,MSCA-IF-2017,Understanding the Role of Motors in Subcellular Mechanics of Organelles by Controlling Myo6-Cargo Interactions in situ,2018-04-01T00:00:00Z,2020-03-31T00:00:00Z,https://science.institut-curie.org/research/multiscale-physics-biology-chemistry/umr144-subcellular-structure-and-cellular-dynamics/team-houdusse/,Mechanical forces play crucial roles in the formation and maturation of many organelles and membrane vesicles,185076,185076,Institut Curie,http://www.wikidata.org/entity/Q48746356,France,http://www.wikidata.org/entity/Q142,,
212705,756762,MTrix,SIGNED,H2020-EU.1.1.,ERC-2017-STG,Mechanical Targeting as an Integrative Approach for Personalized Nanomedicine,2017-12-01T00:00:00Z,2022-11-30T00:00:00Z,https://www.benny-lab.com/research,The ability to direct drug delivery to specific tissues is a central challenge in treating diseases as it determines the balance between drug selectivity and toxicity,1499875,1499875,Hebrew University of Jerusalem,http://www.wikidata.org/entity/Q174158,Israel,http://www.wikidata.org/entity/Q801,,
196066,661187,PROVIST,CLOSED,H2020-EU.1.3.2.,MSCA-IF-2014-GF,PROTEASES VISUALIZATION DURING TUMOR PROGRESSION,2016-01-01T00:00:00Z,2018-12-31T00:00:00Z,https://www.cordis.europa.eu/project/rcn/196066_en.html,Cancer is one of the most devastating diseases leading to millions of deaths per year and cancer research is a major topic in many laboratories in academia and industry,227361.6,227361.6,Wrocław University of Technology,http://www.wikidata.org/entity/Q522109,Poland,http://www.wikidata.org/entity/Q36,,
195820,659633,CR-PHAGOCYTOSIS,CLOSED,H2020-EU.1.3.2.,MSCA-IF-2014-EF,Complement-mediated phagocytosis in neutrophils,2015-04-01T00:00:00Z,2017-03-31T00:00:00Z,http://www.evasionutrecht.nl/themes/suzan-rooijakkers-bacteria-complement/,Complement-mediated phagocytosis plays a crucial role in bacterial killing,165598.8,165598.8,Universitair Medisch Centrum Utrecht,http://www.wikidata.org/entity/Q97534164,Kingdom of the Netherlands,http://www.wikidata.org/entity/Q29999,,
198835,690946,SexSeed,SIGNED,H2020-EU.1.3.3.,MSCA-RISE-2015,Sexual Plant Reproduction â€“ Seed formation,2016-03-01T00:00:00Z,2020-02-29T00:00:00Z,http://www.fc.up.pt/sexseed/index.html,By 2050 it is estimated that the human population will reach 9 billion,751500,720000,University of Porto,http://www.wikidata.org/entity/Q1422903,Portugal,http://www.wikidata.org/entity/Q45,NATIONAL UNIVERSITY OF IRELAND GALWAY-UNIVERSITA DEGLI STUDI DI MILANO-UNIVERSITA DEGLI STUDI DI PERUGIA,IE-IT
200042,680088,SCHISTO_PERSIST,SIGNED,H2020-EU.1.1.,ERC-StG-2015,New approaches to characterise Schistosoma mansoni infections persisting despite mass drug administration,2016-04-01T00:00:00Z,2022-03-31T00:00:00Z,https://www.poppylamberton.com/,Neglected tropical diseases affect over 1,1490270,1490270,University of Glasgow,http://www.wikidata.org/entity/Q192775,United Kingdom,http://www.wikidata.org/entity/Q145,,
201103,703094,MARKTHEPIG,SIGNED,H2020-EU.1.3.2.,MSCA-IF-2015-EF,Applied phenomics to identify biomarkers in pigs for new concepts in precision livestock farming,2016-06-01T00:00:00Z,2018-05-31T00:00:00Z,http://markthepig.eu/,Considerable progress has been made in characterising genomes allowing comprehensive insights into patterns of genetic diversity in many organisms,168277.2,168277.2,University of Bologna,http://www.wikidata.org/entity/Q131262,Italy,http://www.wikidata.org/entity/Q38,,
220368,826266,CO-ADAPT,SIGNED,H2020-EU.3.1.4.1.+H2020-EU.3.1.4.2.,SC1-DTH-03-2018,CO-ADAPT: Adaptive Environments and Conversational Agent Based approaches for Healthy Ageing and Work Ability,2018-12-01T00:00:00Z,2022-05-31T00:00:00Z,https://coadapt-project.eu/,Active ageing along with work ability frameworks contributed mostly to inform policies and development of research methods rather than concrete solutions such as technologies and applications,3993616.25,3993616.25,University of Helsinki,http://www.wikidata.org/entity/Q28695,Finland,http://www.wikidata.org/entity/Q33,AALTO KORKEAKOULUSAATIO SR-UNIVERSITA DEGLI STUDI DI PADOVA-ELECTROLUX ITALIA SPA-UNIVERSITA DEGLI STUDI DI TRENTO-ETSIMO HEALTHCARE OY-INNOVATION SPRINT-IDEGO SRL-TYOTERVEYSLAITOS-BNP SRL,FI-IT-BE
195549,658085,DAMAGE,CLOSED,H2020-EU.1.3.2.,MSCA-IF-2014-EF,An avian model for understanding and preventing the negative effects of poor developmental conditions on subsequent health state fertility and ageing rate,2016-02-01T00:00:00Z,2018-01-31T00:00:00Z,https://www.researchgate.net/profile/Antoine_Stier,Poor developmental conditions have been shown to impact subsequent health fertility and lifespan both in human and animal models,183454.8,183454.8,University of Glasgow,http://www.wikidata.org/entity/Q192775,United Kingdom,http://www.wikidata.org/entity/Q145,,
195679,658882,MARIS,SIGNED,H2020-EU.1.3.2.,MSCA-IF-2014-EF,Mixotrophy among small marine phytoflagellates â€“ prevalence and impact on prokaryotic communities,2015-05-01T00:00:00Z,2017-04-30T00:00:00Z,https://www.researchgate.net/project/Bacterivory-in-mixotrophic-small-phytoflagellates,Mixotrophy i,212194.8,212194.8,University of Copenhagen,http://www.wikidata.org/entity/Q186285,Denmark,http://www.wikidata.org/entity/Q35,,
202135,701815,FLUOPHOT,CLOSED,H2020-EU.1.3.2.,MSCA-IF-2015-EF,Remotely quantifying vegetation productivity: exploiting sun-induced fluorescence-photosynthesis relationships through field and modelling methods,2016-09-01T00:00:00Z,2019-01-31T00:00:00Z,http://ipl.uv.es/fluophot/,During the past few years airborne/spaceborne detection and quantification of sun-induced chlorophyll fluorescence (SIF) emitted by terrestrial vegetation became possible at several narrow wavelengths,158121.6,158121.6,University of Valencia,http://www.wikidata.org/entity/Q383568,Spain,http://www.wikidata.org/entity/Q29,,
206770,734486,SAFE-Aqua,SIGNED,H2020-EU.1.3.3.,MSCA-RISE-2016,SustainAble Farming for Effective Aquaculture,2017-01-01T00:00:00Z,2020-12-31T00:00:00Z,http://www.safeaqua-project.net/,Aquaculture is an important food source for the worlds growing population,900000,900000,Pasteur Institute,http://www.wikidata.org/entity/Q391083,France,http://www.wikidata.org/entity/Q142,SWANSEA UNIVERSITY-BACMINE SL-WAGENINGEN UNIVERSITY,UK-ES-NL
199179,688265,MIRPHAB,SIGNED,H2020-EU.2.1.1.,ICT-28-2015,MidInfraRed PHotonics devices fABrication for chemical sensing and spectroscopic applications,2016-01-01T00:00:00Z,2020-12-31T00:00:00Z,http://www.mirphab.eu,The MIRPHAB (Mid InfraRed PHotonics devices fABrication for chemical sensing and spectroscopic applications) consortium will establish a pilot line to serve the growing needs of European industry in the field of analytical micro-sensors,1.606126586E7,1.298021739E7,Alternative Energies and Atomic Energy Commission,http://www.wikidata.org/entity/Q868550,France,http://www.wikidata.org/entity/Q142,COMPOUND SEMICONDUCTOR TECHNOLOGIES GLOBAL LIMITED-CSEM CENTRE SUISSE D'ELECTRONIQUE ET DE MICROTECHNIQUE SA - RECHERCHE ET DEVELOPPEMENT-EUROPEAN PHOTONICS INDUSTRY CONSORTIUM-ROBERT BOSCH GMBH-FRAUNHOFER GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V.-NANOPLUS NANOSYSTEMS AND TECHNOLOGIES GMBH-INTERUNIVERSITAIR MICRO-ELECTRONICA CENTRUM-QUANTARED TECHNOLOGIES GMBH-ELECTROLUX ITALIA SPA-CASCADE TECHNOLOGIES LIMITED-IQE plc-VIGO SYSTEM S.A.-ASSOCIATION POUR LE DEVELOPPEMENT DES RECHERCHES AUPRES DES UNIVERSITES DE L ACADEMIE DE GRENOBL-III-V LAB-ALPES LASERS SA-MIRSENSE-NEO MONITORS AS-TEMATYS-NORSK ELEKTRO OPTIKK AS-PHOENIX BV,UK-CH-FR-DE-BE-AT-IT-PL-NO-NL
209761,744400,MultiCAMS,SIGNED,H2020-EU.1.3.2.,MSCA-IF-2016,Multi-level Model Calibration for the Assessment of Historical Masonry Structures,2017-09-01T00:00:00Z,2019-08-31T00:00:00Z,https://www.researchgate.net/project/MultiCAMS-Multi-level-Model-Calibration-for-the-Assessment-of-Historical-Masonry-Structures,The MultiCAMS project will develop an advanced computational strategy including numerical modelling and innovative model calibration for realistic assessment of historical unreinforced masonry structures,183454.8,183454.8,Imperial College London,http://www.wikidata.org/entity/Q189022,United Kingdom,http://www.wikidata.org/entity/Q145,,
200392,688279,EDEN2020,SIGNED,H2020-EU.2.1.1.,ICT-24-2015,Enhanced Delivery Ecosystem for Neurosurgery in 2020,2016-04-01T00:00:00Z,2020-09-30T00:00:00Z,http://www.eden2020.eu,Due to an aging population and the spiralling cost of brain disease in Europe and beyond EDEN2020 aims to develop the gold standard for one-stop diagnosis and minimally invasive treatment in neurosurgery,8361446.25,8361446.25,Imperial College London,http://www.wikidata.org/entity/Q189022,United Kingdom,http://www.wikidata.org/entity/Q145,RENISHAW PLC-TECHNISCHE UNIVERSITAET MUENCHEN-ACADEMISCH ZIEKENHUIS GRONINGEN-XOGRAPH TECHNOLOGIES LIMITED-POLITECNICO DI MILANO-UNIVERSITA DEGLI STUDI DI MILANO-UNIVERSITA VITA-SALUTE SAN RAFFAELE,UK-DE-NL-IT
199039,686330,FutureAgriculture,SIGNED,H2020-EU.1.2.1.,FETOPEN-RIA-2014-2015,Transforming the future of agriculture through synthetic photorespiration,2016-01-01T00:00:00Z,2020-12-31T00:00:00Z,http://www.futureagriculture.eu/,For a new green revolution to feed the continually increasing population agriculture productivity will have to be significantly improved,4871410,4871410,Max Planck Society,http://www.wikidata.org/entity/Q158085,Germany,http://www.wikidata.org/entity/Q183,IMPERIAL COLLEGE OF SCIENCE TECHNOLOGY AND MEDICINE-WEIZMANN INSTITUTE OF SCIENCE-EVOGENE LTD-IN SRL,UK-IL-IT
