Posting Date,Merchant Name,"Transaction 
Amount","Explanation Category: 
See Guidance Sheet and use drop down list"
27/03/2015,BROXAP LTD,758.40,Items for offender workshops/industries
26/03/2015,SCREWFIX DIRECT,822.88,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
20/03/2015,ALEXANDER BROWN AND CO,1669.19,Estates - Services for Building/Electrical/Plumbing
19/03/2015,ALEXANDER BROWN AND CO,1500.00,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
19/03/2015,ALEXANDER BROWN AND CO,1500.00,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
09/03/2015,MOORE LARGE,669.75,Educational/Learning/Training - Equipment or Supplies
16/03/2015,PC WORLD,839.97,Educational/Learning/Training - Equipment or Supplies
16/03/2015,EDMUNSON ELEC,838.58,Estates - Services for Building/Electrical/Plumbing
19/03/2015,PANTILES TROPHIES,632.50,Staff - Reward and recognition
18/03/2015,NAS UK,756.00,Staff Training
04/03/2015,DARWIN VETERINARY CENT,589.21,Dogs - Vet Treatment Prison Service (Sniffer Dogs)
16/03/2015,CENTRAL SOURCE LTD,720.00,Estates - Services for Building/Electrical/Plumbing
16/03/2015,SHELVINGSTORE,686.48,Office Supplies
31/03/2015,"Amazon Svcs Europe,SAR",966.00,Educational/Learning/Training - Equipment or Supplies
30/03/2015,SCREWFIX DIRECT,675.78,Educational/Learning/Training - Equipment or Supplies
26/03/2015,WWW.GEAR4MUSIC.COM,836.13,Educational/Learning/Training - Equipment or Supplies
26/03/2015,DV247 LIMITED,975.00,Educational/Learning/Training - Equipment or Supplies
26/03/2015,WWW.GAK.CO.UK,995.97,Educational/Learning/Training - Equipment or Supplies
26/03/2015,SCREWFIX DIRECT,979.96,Educational/Learning/Training - Equipment or Supplies
27/03/2015,EXPERT ELECTRICAL SUPP,724.15,Educational/Learning/Training - Equipment or Supplies
25/03/2015,BURY VAN HIRE LIMITED,556.00,Vehicle - Transport
13/03/2015,PARR ROCHDALE LTD,594.74,Estates - Services for Building/Electrical/Plumbing
09/03/2015,TRAVIS PERKINS,798.30,Educational/Learning/Training - Equipment or Supplies
06/03/2015,TRAVIS PERKINS,687.18,Educational/Learning/Training - Equipment or Supplies
04/03/2015,TRAVIS PERKINS,522.67,Educational/Learning/Training - Equipment or Supplies
03/03/2015,TRAVIS PERKINS,716.28,Educational/Learning/Training - Equipment or Supplies
03/03/2015,TRAVIS PERKINS,788.32,Educational/Learning/Training - Equipment or Supplies
18/03/2015,CITY ELECTRICAL FA,1173.00,Dogs - Kenneling for Prison Service (Sniffer Dogs)
06/03/2015,RIDGEWAY OXFORD NORTH,983.55,Vehicle - MOT & Service
30/03/2015,KINGSKERSWELL POST OFF,611.30,Official Newspapers for prison library
23/03/2015,PAPERSTONE,909.42,Health and Safety Supplies
31/03/2015,SIGNGEER LTD,528.00,Educational/Learning/Training - Equipment or Supplies
13/03/2015,PHYSIQUE SPORTS,570.00,Health and fitness equipment
13/03/2015,PHYSIQUE SPORTS,570.00,Health and fitness equipment
26/03/2015,CHARTERHOUSE HOLDI,1074.00,Educational/Learning/Training - Equipment or Supplies
26/03/2015,UPNORTH ENGINEERING SE,2771.60,Estates - Services for Building/Electrical/Plumbing
24/03/2015,DIGITAL PHOTO SOLUTION,4078.80,Educational/Learning/Training - Equipment or Supplies
23/03/2015,STOCKS SEW/BROTHER,7998.00,Items for offender workshops/industries
12/03/2015,UPNORTH ENGINEERING SE,1167.59,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
12/03/2015,CHARTERHOUSE HOLDI,3172.80,Educational/Learning/Training - Equipment or Supplies
09/03/2015,LIGHTHOUSE,4609.20,Educational/Learning/Training - Equipment or Supplies
06/03/2015,L PROSSER,648.00,Waste disposal products/services including Chemical
05/03/2015,FRANKLIN STEEL STOCKHO,997.97,Estates - Industrial supplies/equipment
03/03/2015,JEWSON LTD,887.55,Estates - Industrial supplies/equipment
03/03/2015,LORD HIRE CENTRES,722.08,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
02/03/2015,HAMILTON & POLLOCK,2370.00,Items for offender workshops/industries
23/03/2015,CANVAS & STRETCHER,552.18,Items for offender workshops/industries
13/03/2015,THE MANCHESTER CIVIL J,666.00,Staff Training
04/03/2015,TROWBRIDGE FORD,597.36,Vehicle - MOT & Service
27/03/2015,OPP LTD STERLING VT,811.50,Educational/Learning/Training - Equipment or Supplies
24/03/2015,BIRKBECK COLLEGE,750.00,Staff Training
12/03/2015,UNIVERSAL RENTALS,672.00,Educational/Learning/Training - Equipment or Supplies
11/03/2015,SHL Group Ltd,954.00,Professional Subscriptions and Membership Fees
31/03/2015,AUTOGLASS,636.05,Vehicle - New or Repairs and Maintenance
25/03/2015,ALEXANDRA WEBSITE,510.88,Items for offender workshops/industries
31/03/2015,PULMAN (DURHAM),649.31,Vehicle - New or Repairs and Maintenance
31/03/2015,PULMAN (DURHAM),561.77,Vehicle - New or Repairs and Maintenance
20/03/2015,NOVA CHROME UK LTD,851.40,Educational/Learning/Training - Equipment or Supplies
17/03/2015,XPRES,1074.00,Educational/Learning/Training - Equipment or Supplies
17/03/2015,XPRES,514.50,Educational/Learning/Training - Equipment or Supplies
16/03/2015,ESSENTRA PACKAGING,1494.60,Assistive Technology and Equipment
11/03/2015,ARGOS DIRECT,839.93,IT equipment
26/03/2015,"Amazon Svcs Europe,SAR",838.00,Estates - Furniture/fixtures/fittings
04/03/2015,"Amazon Svcs Europe,SAR",689.70,Security Equipment 
27/03/2015,WWW.CONNEVANS.COM,514.98,Assistive Technology and Equipment
23/03/2015,TRIAD GARAGES LTD,951.00,Vehicle - MOT & Service
23/03/2015,TRIAD GARAGES LTD,533.08,Vehicle - MOT & Service
19/03/2015,SOPER GROUP LTD,688.39,Estates - Industrial supplies/equipment
16/03/2015,TRIAD GARAGES LTD,562.00,Estates - Industrial supplies/equipment
19/03/2015,PENTALVER TRANSPORT LT,3498.00,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
10/03/2015,DESTINATIONTRIUMPH,1015.48,Vehicle - New or Repairs and Maintenance
05/03/2015,OWEN ATV'S GARDEN MACH,813.50,Gardening Equipment/Services/Supplies for prisoners to gain recognised qualifications in horticulture
26/03/2015,EDMUNDSON ELECTRICAL L,620.60,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
26/03/2015,EDMUNDSON ELECTRICAL L,774.00,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
26/03/2015,EDMUNDSON ELECTRICAL L,512.04,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
20/03/2015,ARCO LTD,594.74,Estates - Industrial supplies/equipment
12/03/2015,MASTERS TRADITIONAL,547.58,Items for offender workshops/industries
09/03/2015,MASTERS TRADITIONAL,975.25,Items for offender workshops/industries
09/03/2015,MASTERS TRADITIONAL,975.18,Items for offender workshops/industries
06/03/2015,PARTS CENTER 3NA,843.60,Estates - Services for Building/Electrical/Plumbing
30/03/2015,IRONMONGERY DIRECT LTD,619.20,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
30/03/2015,WATCO UK LTD,554.88,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
09/03/2015,WWW.PREMIERPOLYTUNNELS,568.30,Gardening Equipment/Services/Supplies for prisoners to gain recognised qualifications in horticulture
20/03/2015,HOTSET UK LTD,558.52,Estates - Industrial supplies/equipment
20/03/2015,MALCOLMS MUSICLAND,742.34,Educational/Learning/Training - Equipment or Supplies
20/03/2015,"Amazon Svcs Europe,SAR",633.08,Educational/Learning/Training - Equipment or Supplies
20/03/2015,I C S COOL ENERGY,570.00,Estates - Services for Building/Electrical/Plumbing
11/03/2015,TRADELINE LTD,500.00,Estates - Services for Building/Electrical/Plumbing
18/03/2015,FELFORD SUPPLIES,960.00,Health and Safety Supplies
17/03/2015,FELFORD SUPPLIES,899.40,Health and Safety Supplies
26/03/2015,EBUYER (UK) LTD,669.98,Assistive Technology and Equipment
20/03/2015,AZELIS UK INDUSTRIAL C,905.22,Estates - Industrial supplies/equipment
19/03/2015,WICKES,585.60,Estates - Services for Building/Electrical/Plumbing
11/03/2015,EBUYER (UK) LTD,599.99,Assistive Technology and Equipment
05/03/2015,ADVANCE AUTOTECH,600.00,Vehicle - New or Repairs and Maintenance
05/03/2015,ADVANCE AUTOTECH,509.98,Vehicle - New or Repairs and Maintenance
05/03/2015,LABORATORY PRECISION L,720.00,Items for offender workshops/industries
30/03/2015,DSG VAUXHALL,727.31,Vehicle - New or Repairs and Maintenance
30/03/2015,Amazon UK Marketplace,776.70,Prison -Operational items
20/03/2015,BRITISHBINS,502.75,Estates - Industrial supplies/equipment
11/03/2015,VETS NOW EMERGENCY,1031.95,Dogs - Vet Treatment Prison Service (Sniffer Dogs)
10/03/2015,BANSTEAD VILLAGE VETER,1422.59,Dogs - Vet Treatment Prison Service (Sniffer Dogs)
06/03/2015,PC WORLD ONLINE,829.96,Educational/Learning/Training - Equipment or Supplies
05/03/2015,AQUARIUS BLINDS,989.36,Security Equipment 
09/03/2015,IWM BUSINESS SERVI,600.00,"Educational/Learning/Training - Offender Costs (Registration, Certification etc)"
31/03/2015,ECMUNDSON ELECTRICAL,583.61,Estates - Services for Building/Electrical/Plumbing
10/03/2015,KOSI KARE,560.40,Staff - Clothing and Footwear
03/03/2015,ARGOS DIRECT,608.93,Items for offender workshops/industries
