Producto,ProductURI,Tipo,NIF,Adjudicatario,OrganizationURI,Fecha,Cantidad Pedido,Cantidad Recibido,Cantidad Pendiente,Importe del Pedido,Importe Pagado,Importe Pendiente,VAT
GAFAS DE PROTECCION,GAFAS_DE_PROTECCION,SUMINISTRO,***3520**,MANUEL PEREZ TALAVERA,MANUEL_PEREZ_TALAVERA,2020-03-16T00:00:00Z,3,3,0,26,26,0,21
GAFAS DE PROTECCION,GAFAS_DE_PROTECCION,SUMINISTRO,***3520**,MANUEL PEREZ TALAVERA,MANUEL_PEREZ_TALAVERA,2020-03-16T00:00:00Z,1,1,0,23,23,0,21
CALZAS,CALZAS,SUMINISTRO,A08630063,"IBERHOSPITEX, S.A.",IBERHOSPITEX_SA,2020-03-16T00:00:00Z,32800,32800,0,1969,1969,0,21
Tubos alargadores,Tubos_alargadores,SUMINISTRO,A08630063,"IBERHOSPITEX, S.A.",IBERHOSPITEX_SA,2020-03-16T00:00:00Z,2460,2460,0,1783,1783,0,21
SUDARIO,SUDARIO,SUMINISTRO,A28017895,"EL CORTE INGLES, S.A.",EL_CORTE_INGLES_SA,2020-03-16T00:00:00Z,105,105,0,20370,20370,0,21
Fij/suj/acc.ventiltp,Fij/suj/acc_ventiltp,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,250,250,0,299,299,0,21
Fij/suj/acc.ventiltp,Fij/suj/acc_ventiltp,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,108,108,0,185,185,0,21
Fij/suj/acc.ventiltp,Fij/suj/acc_ventiltp,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,30,30,0,436,436,0,21
Fij/suj/acc.ventiltp,Fij/suj/acc_ventiltp,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,50,50,0,375,375,0,21
Fij/suj/acc.ventiltp,Fij/suj/acc_ventiltp,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,40,40,0,228,228,0,21
Inst.des.general,Inst_des_general,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,10,10,0,363,363,0,21
Inst.des.general,Inst_des_general,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,20,20,0,600,600,0,0
Inst.des.general,Inst_des_general,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,200,200,0,1210,1210,0,21
Nebuliz./humidific.,Nebuliz_/humidific_,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,1575,1575,0,2763,2763,0,21
Termó/sensor reg.dat,Termó/sensor_reg_dat,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,552,552,0,4642,4642,0,21
Tubos admón.O2,Tubos_admón_O2,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,375,375,0,1342,1342,0,21
