CCAA,CovidStatusID,FECHA,PCR+,TestAc+,Hospitalizados,UCI,Fallecidos
AN,AN_2020-02-20T00:00Z,2020-02-20T00:00:00Z,0,0,0,0,0
AN,AN_2020-02-21T00:00Z,2020-02-21T00:00:00Z,0,0,0,0,0
AN,AN_2020-02-22T00:00Z,2020-02-22T00:00:00Z,0,0,0,0,0
AN,AN_2020-02-23T00:00Z,2020-02-23T00:00:00Z,0,0,0,0,0
AN,AN_2020-02-24T00:00Z,2020-02-24T00:00:00Z,0,0,0,0,0
AN,AN_2020-02-25T00:00Z,2020-02-25T00:00:00Z,0,0,0,0,0
AN,AN_2020-02-26T00:00Z,2020-02-26T00:00:00Z,1,0,0,0,0
AN,AN_2020-02-27T00:00Z,2020-02-27T00:00:00Z,5,0,0,0,0
AN,AN_2020-02-28T00:00Z,2020-02-28T00:00:00Z,2,0,0,0,0
AN,AN_2020-02-29T00:00Z,2020-02-29T00:00:00Z,4,0,0,0,0
AN,AN_2020-03-01T00:00Z,2020-03-01T00:00:00Z,0,0,0,0,0
AN,AN_2020-03-02T00:00Z,2020-03-02T00:00:00Z,0,0,0,0,0
AN,AN_2020-03-03T00:00Z,2020-03-03T00:00:00Z,0,0,0,0,0
AN,AN_2020-03-04T00:00Z,2020-03-04T00:00:00Z,0,0,0,0,0
AN,AN_2020-03-05T00:00Z,2020-03-05T00:00:00Z,9,0,0,0,0
AN,AN_2020-03-06T00:00Z,2020-03-06T00:00:00Z,6,0,0,0,0
AN,AN_2020-03-07T00:00Z,2020-03-07T00:00:00Z,7,0,0,0,0
AN,AN_2020-03-08T00:00Z,2020-03-08T00:00:00Z,20,0,0,1,0
AN,AN_2020-03-09T00:00Z,2020-03-09T00:00:00Z,17,0,0,1,0
AN,AN_2020-03-10T00:00Z,2020-03-10T00:00:00Z,19,0,32,3,0
AN,AN_2020-03-11T00:00Z,2020-03-11T00:00:00Z,25,0,50,4,0
AN,AN_2020-03-12T00:00Z,2020-03-12T00:00:00Z,104,0,92,8,0
AN,AN_2020-03-13T00:00Z,2020-03-13T00:00:00Z,50,0,92,8,2
AN,AN_2020-03-14T00:00Z,2020-03-14T00:00:00Z,168,0,92,8,6
AN,AN_2020-03-15T00:00Z,2020-03-15T00:00:00Z,117,0,197,11,7
AN,AN_2020-03-16T00:00Z,2020-03-16T00:00:00Z,129,0,229,13,11
AN,AN_2020-03-17T00:00Z,2020-03-17T00:00:00Z,176,0,319,21,19
AN,AN_2020-03-18T00:00Z,2020-03-18T00:00:00Z,149,0,384,25,23
AN,AN_2020-03-19T00:00Z,2020-03-19T00:00:00Z,279,0,501,38,30
AN,AN_2020-03-20T00:00Z,2020-03-20T00:00:00Z,228,0,605,53,40
AN,AN_2020-03-21T00:00Z,2020-03-21T00:00:00Z,210,0,724,55,47
AN,AN_2020-03-22T00:00Z,2020-03-22T00:00:00Z,236,0,865,77,58
AN,AN_2020-03-23T00:00Z,2020-03-23T00:00:00Z,509,0,1132,102,87
AN,AN_2020-03-24T00:00Z,2020-03-24T00:00:00Z,538,0,1433,116,113
AN,AN_2020-03-25T00:00Z,2020-03-25T00:00:00Z,396,0,1626,134,134
AN,AN_2020-03-26T00:00Z,2020-03-26T00:00:00Z,386,0,1843,148,144
AN,AN_2020-03-27T00:00Z,2020-03-27T00:00:00Z,481,0,2106,172,175
AN,AN_2020-03-28T00:00Z,2020-03-28T00:00:00Z,405,0,2294,201,207
AN,AN_2020-03-29T00:00Z,2020-03-29T00:00:00Z,722,0,2671,216,236
AN,AN_2020-03-30T00:00Z,2020-03-30T00:00:00Z,411,0,2867,235,248
AN,AN_2020-03-31T00:00Z,2020-03-31T00:00:00Z,570,0,3147,260,308
AN,AN_2020-04-01T00:00Z,2020-04-01T00:00:00Z,578,0,3444,280,343
AN,AN_2020-04-02T00:00Z,2020-04-02T00:00:00Z,396,0,3673,338,376
AN,AN_2020-04-03T00:00Z,2020-04-03T00:00:00Z,494,0,3896,364,426
AN,AN_2020-04-04T00:00Z,2020-04-04T00:00:00Z,432,0,4107,474,470
AN,AN_2020-04-05T00:00Z,2020-04-05T00:00:00Z,280,0,4227,489,491
AN,AN_2020-04-06T00:00Z,2020-04-06T00:00:00Z,184,0,4335,499,528
AN,AN_2020-04-07T00:00Z,2020-04-07T00:00:00Z,230,0,4463,520,605
AN,AN_2020-04-08T00:00Z,2020-04-08T00:00:00Z,261,0,4599,538,652
AN,AN_2020-04-09T00:00Z,2020-04-09T00:00:00Z,248,0,4715,582,691
AN,AN_2020-04-10T00:00Z,2020-04-10T00:00:00Z,200,0,4808,602,737
AN,AN_2020-04-11T00:00Z,2020-04-11T00:00:00Z,294,0,4950,619,799
AN,AN_2020-04-12T00:00Z,2020-04-12T00:00:00Z,86,0,4993,621,815
AN,AN_2020-04-13T00:00Z,2020-04-13T00:00:00Z,107,114,5054,631,836
AN,AN_2020-04-14T00:00Z,2020-04-14T00:00:00Z,223,55,5147,665,865
AN,AN_2020-04-15T00:00Z,2020-04-15T00:00:00Z,165,47,5226,671,912
AN,AN_2020-04-16T00:00Z,2020-04-16T00:00:00Z,78,167,5298,675,940
AN,AN_2020-04-17T00:00Z,2020-04-17T00:00:00Z,99,51,5341,677,967
AN,AN_2020-04-18T00:00Z,2020-04-18T00:00:00Z,164,57,5424,687,993
AN,AN_2020-04-19T00:00Z,2020-04-19T00:00:00Z,93,36,5473,690,1013
AN,AN_2020-04-20T00:00Z,2020-04-20T00:00:00Z,104,26,5509,692,1017
AN,AN_2020-04-21T00:00Z,2020-04-21T00:00:00Z,130,101,5565,696,1050
AN,AN_2020-04-22T00:00Z,2020-04-22T00:00:00Z,133,183,5616,702,1079
AN,AN_2020-04-23T00:00Z,2020-04-23T00:00:00Z,128,126,5675,714,1107
AN,AN_2020-04-24T00:00Z,2020-04-24T00:00:00Z,159,166,5715,716,1131
AN,AN_2020-04-25T00:00Z,2020-04-25T00:00:00Z,67,131,5747,716,1145
AN,AN_2020-04-26T00:00Z,2020-04-26T00:00:00Z,75,61,5767,720,1157
AN,AN_2020-04-27T00:00Z,2020-04-27T00:00:00Z,49,38,5792,721,1168
AN,AN_2020-04-28T00:00Z,2020-04-28T00:00:00Z,81,169,5831,721,1188
AN,AN_2020-04-29T00:00Z,2020-04-29T00:00:00Z,32,147,5873,721,1207
AN,AN_2020-04-30T00:00Z,2020-04-30T00:00:00Z,112,145,5935,729,1238
AN,AN_2020-05-01T00:00Z,2020-05-01T00:00:00Z,44,203,5961,735,1253
AN,AN_2020-05-02T00:00Z,2020-05-02T00:00:00Z,34,89,5961,736,1256
AN,AN_2020-05-03T00:00Z,2020-05-03T00:00:00Z,17,43,5973,738,1263
AN,AN_2020-05-04T00:00Z,2020-05-04T00:00:00Z,11,29,5983,738,1267
AN,AN_2020-05-05T00:00Z,2020-05-05T00:00:00Z,23,219,6012,740,1281
AN,AN_2020-05-06T00:00Z,2020-05-06T00:00:00Z,32,199,6027,742,1294
AN,AN_2020-05-07T00:00Z,2020-05-07T00:00:00Z,17,161,6038,742,1301
AN,AN_2020-05-08T00:00Z,2020-05-08T00:00:00Z,11,167,6069,745,1317
AN,AN_2020-05-09T00:00Z,2020-05-09T00:00:00Z,17,158,6080,745,1320
AN,AN_2020-05-10T00:00Z,2020-05-10T00:00:00Z,18,49,6092,745,1322
AN,AN_2020-05-11T00:00Z,2020-05-11T00:00:00Z,8,92,6101,745,1326
AN,AN_2020-05-12T00:00Z,2020-05-12T00:00:00Z,24,83,6114,750,1332
AN,AN_2020-05-13T00:00Z,2020-05-13T00:00:00Z,42,152,6128,751,1336
AN,AN_2020-05-14T00:00Z,2020-05-14T00:00:00Z,42,203,6146,754,1344
AN,AN_2020-05-15T00:00Z,2020-05-15T00:00:00Z,19,176,6161,758,1355
AN,AN_2020-05-16T00:00Z,2020-05-16T00:00:00Z,30,139,6174,760,1358
AN,AN_2020-05-17T00:00Z,2020-05-17T00:00:00Z,8,17,6178,760,1358
AN,AN_2020-05-18T00:00Z,2020-05-18T00:00:00Z,31,0,6182,760,1367
AN,AN_2020-05-19T00:00Z,2020-05-19T00:00:00Z,13,0,6196,764,1371
AN,AN_2020-05-20T00:00Z,2020-05-20T00:00:00Z,45,0,6210,766,1375
AR,AR_2020-02-20T00:00Z,2020-02-20T00:00:00Z,0,0,0,0,0
AR,AR_2020-02-21T00:00Z,2020-02-21T00:00:00Z,0,0,0,0,0
AR,AR_2020-02-22T00:00Z,2020-02-22T00:00:00Z,0,0,0,0,0
AR,AR_2020-02-23T00:00Z,2020-02-23T00:00:00Z,0,0,0,0,0
AR,AR_2020-02-24T00:00Z,2020-02-24T00:00:00Z,0,0,0,0,0
AR,AR_2020-02-25T00:00Z,2020-02-25T00:00:00Z,0,0,0,0,0
AR,AR_2020-02-26T00:00Z,2020-02-26T00:00:00Z,0,0,0,0,0
AR,AR_2020-02-27T00:00Z,2020-02-27T00:00:00Z,0,0,0,0,0
AR,AR_2020-02-28T00:00Z,2020-02-28T00:00:00Z,0,0,0,0,0
AR,AR_2020-02-29T00:00Z,2020-02-29T00:00:00Z,0,0,0,0,0
AR,AR_2020-03-01T00:00Z,2020-03-01T00:00:00Z,0,0,0,0,0
AR,AR_2020-03-02T00:00Z,2020-03-02T00:00:00Z,0,0,0,0,0
AR,AR_2020-03-03T00:00Z,2020-03-03T00:00:00Z,0,0,0,0,0
AR,AR_2020-03-04T00:00Z,2020-03-04T00:00:00Z,1,0,0,0,0
AR,AR_2020-03-05T00:00Z,2020-03-05T00:00:00Z,0,0,0,0,0
AR,AR_2020-03-06T00:00Z,2020-03-06T00:00:00Z,4,0,0,0,0
AR,AR_2020-03-07T00:00Z,2020-03-07T00:00:00Z,0,0,0,0,0
AR,AR_2020-03-08T00:00Z,2020-03-08T00:00:00Z,2,0,0,3,3
AR,AR_2020-03-09T00:00Z,2020-03-09T00:00:00Z,23,0,0,3,4
AR,AR_2020-03-10T00:00Z,2020-03-10T00:00:00Z,8,0,22,3,4
AR,AR_2020-03-11T00:00Z,2020-03-11T00:00:00Z,7,0,28,3,6
AR,AR_2020-03-12T00:00Z,2020-03-12T00:00:00Z,19,0,30,3,7
AR,AR_2020-03-13T00:00Z,2020-03-13T00:00:00Z,16,0,42,5,7
AR,AR_2020-03-14T00:00Z,2020-03-14T00:00:00Z,41,0,59,5,7
AR,AR_2020-03-15T00:00Z,2020-03-15T00:00:00Z,26,0,64,7,11
AR,AR_2020-03-16T00:00Z,2020-03-16T00:00:00Z,60,0,74,9,12
AR,AR_2020-03-17T00:00Z,2020-03-17T00:00:00Z,19,0,81,9,13
AR,AR_2020-03-18T00:00Z,2020-03-18T00:00:00Z,55,0,101,14,15
AR,AR_2020-03-19T00:00Z,2020-03-19T00:00:00Z,79,0,127,28,17
AR,AR_2020-03-20T00:00Z,2020-03-20T00:00:00Z,64,0,192,33,22
AR,AR_2020-03-21T00:00Z,2020-03-21T00:00:00Z,108,0,241,45,24
AR,AR_2020-03-22T00:00Z,2020-03-22T00:00:00Z,106,0,298,52,32
AR,AR_2020-03-23T00:00Z,2020-03-23T00:00:00Z,120,0,384,66,37
AR,AR_2020-03-24T00:00Z,2020-03-24T00:00:00Z,149,0,459,75,40
AR,AR_2020-03-25T00:00Z,2020-03-25T00:00:00Z,209,0,562,93,48
AR,AR_2020-03-26T00:00Z,2020-03-26T00:00:00Z,222,0,693,114,58
AR,AR_2020-03-27T00:00Z,2020-03-27T00:00:00Z,254,0,835,124,93
AR,AR_2020-03-28T00:00Z,2020-03-28T00:00:00Z,266,0,835,145,104
AR,AR_2020-03-29T00:00Z,2020-03-29T00:00:00Z,220,0,1094,148,106
AR,AR_2020-03-30T00:00Z,2020-03-30T00:00:00Z,194,0,1176,157,138
AR,AR_2020-03-31T00:00Z,2020-03-31T00:00:00Z,219,0,1234,160,169
AR,AR_2020-04-01T00:00Z,2020-04-01T00:00:00Z,209,0,1320,170,200
AR,AR_2020-04-02T00:00Z,2020-04-02T00:00:00Z,189,0,1431,172,224
AR,AR_2020-04-03T00:00Z,2020-04-03T00:00:00Z,189,0,1505,182,251
AR,AR_2020-04-04T00:00Z,2020-04-04T00:00:00Z,154,0,1588,182,270
AR,AR_2020-04-05T00:00Z,2020-04-05T00:00:00Z,115,0,1637,186,284
AR,AR_2020-04-06T00:00Z,2020-04-06T00:00:00Z,102,0,1663,196,312
AR,AR_2020-04-07T00:00Z,2020-04-07T00:00:00Z,100,0,1716,204,349
AR,AR_2020-04-08T00:00Z,2020-04-08T00:00:00Z,136,0,1765,210,385
AR,AR_2020-04-09T00:00Z,2020-04-09T00:00:00Z,146,0,1822,212,409
AR,AR_2020-04-10T00:00Z,2020-04-10T00:00:00Z,138,29,1860,215,425
AR,AR_2020-04-11T00:00Z,2020-04-11T00:00:00Z,101,26,1901,221,450
AR,AR_2020-04-12T00:00Z,2020-04-12T00:00:00Z,117,6,1938,223,464
AR,AR_2020-04-13T00:00Z,2020-04-13T00:00:00Z,58,26,1966,229,492
AR,AR_2020-04-14T00:00Z,2020-04-14T00:00:00Z,93,25,2006,231,514
AR,AR_2020-04-15T00:00Z,2020-04-15T00:00:00Z,73,43,2108,235,543
AR,AR_2020-04-16T00:00Z,2020-04-16T00:00:00Z,78,20,2151,235,562
AR,AR_2020-04-17T00:00Z,2020-04-17T00:00:00Z,62,35,2180,237,601
AR,AR_2020-04-18T00:00Z,2020-04-18T00:00:00Z,57,13,2216,240,619
AR,AR_2020-04-19T00:00Z,2020-04-19T00:00:00Z,46,9,2244,242,637
AR,AR_2020-04-20T00:00Z,2020-04-20T00:00:00Z,30,22,2271,244,643
AR,AR_2020-04-21T00:00Z,2020-04-21T00:00:00Z,77,39,2304,246,656
AR,AR_2020-04-22T00:00Z,2020-04-22T00:00:00Z,72,111,2340,247,681
AR,AR_2020-04-23T00:00Z,2020-04-23T00:00:00Z,34,24,2359,248,695
AR,AR_2020-04-24T00:00Z,2020-04-24T00:00:00Z,55,32,2372,249,709
AR,AR_2020-04-25T00:00Z,2020-04-25T00:00:00Z,33,41,2395,251,712
AR,AR_2020-04-26T00:00Z,2020-04-26T00:00:00Z,30,18,2403,251,726
AR,AR_2020-04-27T00:00Z,2020-04-27T00:00:00Z,19,34,2425,252,735
AR,AR_2020-04-28T00:00Z,2020-04-28T00:00:00Z,38,57,2454,252,736
AR,AR_2020-04-29T00:00Z,2020-04-29T00:00:00Z,49,270,2477,252,739
AR,AR_2020-04-30T00:00Z,2020-04-30T00:00:00Z,25,107,2494,253,749
AR,AR_2020-05-01T00:00Z,2020-05-01T00:00:00Z,20,41,2503,253,761
AR,AR_2020-05-02T00:00Z,2020-05-02T00:00:00Z,28,16,2519,253,761
AR,AR_2020-05-03T00:00Z,2020-05-03T00:00:00Z,24,7,2526,253,762
AR,AR_2020-05-04T00:00Z,2020-05-04T00:00:00Z,19,24,2539,253,770
AR,AR_2020-05-05T00:00Z,2020-05-05T00:00:00Z,24,76,2552,253,788
AR,AR_2020-05-06T00:00Z,2020-05-06T00:00:00Z,27,107,2564,255,800
AR,AR_2020-05-07T00:00Z,2020-05-07T00:00:00Z,16,43,2578,255,815
AR,AR_2020-05-08T00:00Z,2020-05-08T00:00:00Z,17,64,2583,255,823
AR,AR_2020-05-09T00:00Z,2020-05-09T00:00:00Z,25,21,2588,255,824
AR,AR_2020-05-10T00:00Z,2020-05-10T00:00:00Z,20,9,2595,255,825
AR,AR_2020-05-11T00:00Z,2020-05-11T00:00:00Z,23,43,2606,255,828
AR,AR_2020-05-12T00:00Z,2020-05-12T00:00:00Z,13,46,2614,255,829
AR,AR_2020-05-13T00:00Z,2020-05-13T00:00:00Z,17,70,2625,255,836
AR,AR_2020-05-14T00:00Z,2020-05-14T00:00:00Z,43,29,2637,255,837
AR,AR_2020-05-15T00:00Z,2020-05-15T00:00:00Z,24,86,2648,255,838
AR,AR_2020-05-16T00:00Z,2020-05-16T00:00:00Z,22,30,2655,255,838
AR,AR_2020-05-17T00:00Z,2020-05-17T00:00:00Z,25,-1,2659,255,838
AR,AR_2020-05-18T00:00Z,2020-05-18T00:00:00Z,17,53,2667,255,843
AR,AR_2020-05-19T00:00Z,2020-05-19T00:00:00Z,31,0,2434,255,847
AR,AR_2020-05-20T00:00Z,2020-05-20T00:00:00Z,37,0,2442,256,848
AS,AS_2020-02-20T00:00Z,2020-02-20T00:00:00Z,0,0,0,0,0
AS,AS_2020-02-21T00:00Z,2020-02-21T00:00:00Z,0,0,0,0,0
AS,AS_2020-02-22T00:00Z,2020-02-22T00:00:00Z,0,0,0,0,0
AS,AS_2020-02-23T00:00Z,2020-02-23T00:00:00Z,0,0,0,0,0
AS,AS_2020-02-24T00:00Z,2020-02-24T00:00:00Z,0,0,0,0,0
AS,AS_2020-02-25T00:00Z,2020-02-25T00:00:00Z,0,0,0,0,0
AS,AS_2020-02-26T00:00Z,2020-02-26T00:00:00Z,0,0,0,0,0
AS,AS_2020-02-27T00:00Z,2020-02-27T00:00:00Z,0,0,0,0,0
