Site,Account,Cost 2015/16,Cost 2016/17,Consumption 2015/16,Consumption 2016/17
Primary School - Aberford Church of England  ,Electricity - 10009034,"£7,144.48","£6,218.28","57,144","59,569"
Primary School - Adel  ,Electricity - 10008021,"£14,412.37","£11,513.10","103,011","89,316"
Primary School - Adel St John The Baptist Church of England  ,Electricity - 10008019,"£10,210.87","£8,701.97","73,642","66,803"
Primary School - All Saints Church of England Primary and Nursery  ,Electricity - 10008649,"£10,493.40","£9,901.97","95,551","92,596"
Primary School - All Saints Church of England Primary and Nursery  ,Electricity - 10008648,£53.62,£13.38,1,0
Primary School - Allerton Bywater  ,Electricity - 10009039,"£2,875.75",£965.90,"28,749","8,978"
Primary School - Allerton Bywater  ,Electricity - 10003958,"£9,916.23","£4,429.96","97,723","35,635"
Primary School - Allerton Church of England  ,Electricity - 10003208,"£16,535.53","£16,361.41","146,453","145,454"
Primary School - Alwoodley  ,Electricity - 10008121,"£4,598.14","£4,691.56","33,676","36,134"
Primary School - Alwoodley  ,Electricity - 10008122,"£16,670.12","£13,242.33","122,943","102,941"
Primary School - Armley  ,Electricity - 10012175,"£9,976.27","£9,678.27","79,444","70,605"
Primary School - Ashfield   ,Electricity - 10002416,"£9,105.77","£8,969.40","75,751","68,288"
Primary School - Austhorpe  ,Electricity - 10008620,"£10,707.84","£9,834.61","97,328","91,605"
Primary School - Bankside  ,Electricity - 10002638,"£25,449.23","£22,872.46","213,806","171,480"
Primary School - Bankside (AIP)  ,Electricity - 10125233,,£69.92,,323
Primary School - Bardsey  ,Electricity - 10008653,"£6,251.51","£2,609.71","47,786","19,879"
Primary School - Bardsey  ,Electricity - 10008654,£97.40,£184.23,400,"1,266"
Primary School - Bardsey  ,Electricity - 10008655,"£3,431.18","£1,073.32","25,729","8,139"
Primary School - Barwick in Elmet Church of England  ,Electricity - 10008571,£608.73,£420.63,"5,031","3,526"
Primary School - Barwick in Elmet Church of England  ,Electricity - 10012205,"£9,577.53","£8,010.68","80,884","77,984"
