Centro;Descripcion Centro;Seccion;Descripcion Seccion;Programa;Descripcion Programa;Capitulo;Descripcion Capitulo;Economico;Descripcion Economico;CRED_INICIAL;MOD_CREDITO;C_DEFINITIVO;C_AUTORIZADO;C_DISPUESTO;OBL_RECONOC
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;23270;PROMOCIÓN PLAN DERECHOS HUMANOS;2;GASTOS EN BIENES CORRIENTES Y SERVICIOS;20901;CÁNONES;0;3630;3630;3630;3630;3630
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;23270;PROMOCIÓN PLAN DERECHOS HUMANOS;2;GASTOS EN BIENES CORRIENTES Y SERVICIOS;22203;INFORMÁTICAS;0;9620;9620;8576,71;8576,71;8576,71
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;23270;PROMOCIÓN PLAN DERECHOS HUMANOS;2;GASTOS EN BIENES CORRIENTES Y SERVICIOS;22602;PUBLICIDAD Y PROPAGANDA;100000;-70000;30000;24178,26;24178,26;24178,26
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;23270;PROMOCIÓN PLAN DERECHOS HUMANOS;2;GASTOS EN BIENES CORRIENTES Y SERVICIOS;22606;REUNIONES, CONFERENCIAS Y CURSOS;65000;0;65000;34249,84;34249,84;33445,74
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;23270;PROMOCIÓN PLAN DERECHOS HUMANOS;2;GASTOS EN BIENES CORRIENTES Y SERVICIOS;22700;LIMPIEZA Y ASEO;0;0;0;3149,39;3149,39;3149,39
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;23270;PROMOCIÓN PLAN DERECHOS HUMANOS;2;GASTOS EN BIENES CORRIENTES Y SERVICIOS;22701;SEGURIDAD;0;0;0;16579,44;16579,44;16579,44
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;23270;PROMOCIÓN PLAN DERECHOS HUMANOS;2;GASTOS EN BIENES CORRIENTES Y SERVICIOS;22706;ESTUDIOS Y TRABAJOS TÉCNICOS;243000;-72270;170730;75810,16;75810,16;75810,16
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;23270;PROMOCIÓN PLAN DERECHOS HUMANOS;2;GASTOS EN BIENES CORRIENTES Y SERVICIOS;23020;DEL PERSONAL NO DIRECTIVO;7000;0;7000;718,37;718,37;718,37
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;23270;PROMOCIÓN PLAN DERECHOS HUMANOS;2;GASTOS EN BIENES CORRIENTES Y SERVICIOS;23120;GASTOS DE VIAJE DEL PERSONAL NO DIRECTIVO;19000;0;19000;1027,06;1027,06;1027,06
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;23270;PROMOCIÓN PLAN DERECHOS HUMANOS;2;GASTOS EN BIENES CORRIENTES Y SERVICIOS;25100;TRABAJOS REALIZADOS POR UNIVERSIDADES PÚBLICAS;18000;0;18000;0;0;0
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;23270;PROMOCIÓN PLAN DERECHOS HUMANOS;2;GASTOS EN BIENES CORRIENTES Y SERVICIOS;26000;TRABAJOS REALIZ. POR INSTITUCIONES S.F. DE LUCRO;10000;-10000;0;0;0;0
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;23270;PROMOCIÓN PLAN DERECHOS HUMANOS;4;TRANSFERENCIAS CORRIENTES;44506;A MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;254000;89020;343020;343020;343020;336667,5
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;23270;PROMOCIÓN PLAN DERECHOS HUMANOS;4;TRANSFERENCIAS CORRIENTES;48901;OTRAS TRANSFERENCIAS  A INSTITUC. SIN FINES  LUCRO;212000;0;212000;211888,89;211888,89;211888,89
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;23270;PROMOCIÓN PLAN DERECHOS HUMANOS;6;INVERSIONES REALES;60900;PATRIMONIO HISTÓRICO, ARTÍSTICO Y CULTURAL;0;635000;635000;307832,69;307832,69;307832,69
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;23270;PROMOCIÓN PLAN DERECHOS HUMANOS;7;TRANSFERENCIAS DE CAPITAL;74508;A EMPRS.MNPAL. SERV. FUNERARIOS Y CEMENTERIOS S.A.;0;292000;292000;292000;292000;292000
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;33601;PATRIMONIO CULTURAL;6;INVERSIONES REALES;60900;PATRIMONIO HISTÓRICO, ARTÍSTICO Y CULTURAL;0;0;0;0;0;0
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;91216;PRESIDENCIA DEL PLENO;1;GASTOS DE PERSONAL;10000;RETRIBUCIONES BÁSICAS;0;57289;57289;19039,55;19039,55;19039,55
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;91216;PRESIDENCIA DEL PLENO;1;GASTOS DE PERSONAL;11000;RETRIBUCIONES BÁSICAS;35352;0;35352;23343,32;23343,32;23343,32
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;91216;PRESIDENCIA DEL PLENO;1;GASTOS DE PERSONAL;11001;RETRIBUCIONES COMPLEMENTARIAS;99435;0;99435;71911,75;71911,75;71911,75
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;91216;PRESIDENCIA DEL PLENO;1;GASTOS DE PERSONAL;12000;SUELDOS DEL GRUPO A1;15578;0;15578;15537,97;15537,97;15537,97
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;91216;PRESIDENCIA DEL PLENO;1;GASTOS DE PERSONAL;12003;SUELDOS DEL GRUPO C1;1051;0;1051;0;0;0
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;91216;PRESIDENCIA DEL PLENO;1;GASTOS DE PERSONAL;12004;SUELDOS DEL GRUPO C2;20275;0;20275;33899,3;33899,3;33899,3
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;91216;PRESIDENCIA DEL PLENO;1;GASTOS DE PERSONAL;12006;TRIENIOS;8849;0;8849;9430,7;9430,7;9430,7
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;91216;PRESIDENCIA DEL PLENO;1;GASTOS DE PERSONAL;12100;COMPLEMENTO DE DESTINO;26904;0;26904;35787,67;35787,67;35787,67
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;91216;PRESIDENCIA DEL PLENO;1;GASTOS DE PERSONAL;12101;COMPLEMENTO ESPECÍFICO;57543;0;57543;76296,3;76296,3;76296,3
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;91216;PRESIDENCIA DEL PLENO;1;GASTOS DE PERSONAL;12103;OTROS COMPLEMENTOS;3447;0;3447;4091,66;4091,66;4091,66
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;91216;PRESIDENCIA DEL PLENO;1;GASTOS DE PERSONAL;15000;PRODUCTIVIDAD;13710;0;13710;20204,32;20204,32;20204,32
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;91216;PRESIDENCIA DEL PLENO;1;GASTOS DE PERSONAL;16000;SEGURIDAD SOCIAL;61767;8744;70511;64355,53;64355,53;64355,53
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;91216;PRESIDENCIA DEL PLENO;1;GASTOS DE PERSONAL;16009;OTRAS CUOTAS;0;0;0;2087,62;2087,62;2087,62
1;AYUNTAMIENTO DE MADRID;2;PRESIDENCIA DEL PLENO;91216;PRESIDENCIA DEL PLENO;2;GASTOS EN BIENES CORRIENTES Y SERVICIOS;22601;ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS;54905;0;54905;50172,65;32849,3;32849,3
