Gastos,Centro,Descripcion Centro,Seccion,Descripcion Seccion,Programa,Descripcion Programa,Capitulo,Descripcion Capitulo,Descripcion Economico,C_DISPUESTO,OBL_RECONOC
0,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,23270,PROMOCIÓN PLAN DERECHOS HUMANOS,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,CÁNONES,3630,3630
1,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,23270,PROMOCIÓN PLAN DERECHOS HUMANOS,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,INFORMÁTICAS,8576.71,8576.71
2,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,23270,PROMOCIÓN PLAN DERECHOS HUMANOS,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,PUBLICIDAD Y PROPAGANDA,24178.26,24178.26
3,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,23270,PROMOCIÓN PLAN DERECHOS HUMANOS,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,"REUNIONES, CONFERENCIAS Y CURSOS",34249.84,33445.74
4,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,23270,PROMOCIÓN PLAN DERECHOS HUMANOS,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,LIMPIEZA Y ASEO,3149.39,3149.39
5,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,23270,PROMOCIÓN PLAN DERECHOS HUMANOS,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,SEGURIDAD,16579.44,16579.44
6,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,23270,PROMOCIÓN PLAN DERECHOS HUMANOS,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,ESTUDIOS Y TRABAJOS TÉCNICOS,75810.16,75810.16
7,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,23270,PROMOCIÓN PLAN DERECHOS HUMANOS,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,DEL PERSONAL NO DIRECTIVO,718.37,718.37
8,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,23270,PROMOCIÓN PLAN DERECHOS HUMANOS,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,GASTOS DE VIAJE DEL PERSONAL NO DIRECTIVO,1027.06,1027.06
9,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,23270,PROMOCIÓN PLAN DERECHOS HUMANOS,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,TRABAJOS REALIZADOS POR UNIVERSIDADES PÚBLICAS,0,0
10,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,23270,PROMOCIÓN PLAN DERECHOS HUMANOS,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,TRABAJOS REALIZ. POR INSTITUCIONES S.F. DE LUCRO,0,0
11,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,23270,PROMOCIÓN PLAN DERECHOS HUMANOS,4,TRANSFERENCIAS CORRIENTES,"A MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.",343020,336667.5
12,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,23270,PROMOCIÓN PLAN DERECHOS HUMANOS,4,TRANSFERENCIAS CORRIENTES,OTRAS TRANSFERENCIAS  A INSTITUC. SIN FINES  LUCRO,211888.89,211888.89
13,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,23270,PROMOCIÓN PLAN DERECHOS HUMANOS,6,INVERSIONES REALES,"PATRIMONIO HISTÓRICO, ARTÍSTICO Y CULTURAL",307832.69,307832.69
14,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,23270,PROMOCIÓN PLAN DERECHOS HUMANOS,7,TRANSFERENCIAS DE CAPITAL,A EMPRS.MNPAL. SERV. FUNERARIOS Y CEMENTERIOS S.A.,292000,292000
15,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,33601,PATRIMONIO CULTURAL,6,INVERSIONES REALES,"PATRIMONIO HISTÓRICO, ARTÍSTICO Y CULTURAL",0,0
16,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,RETRIBUCIONES BÁSICAS,19039.55,19039.55
17,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,RETRIBUCIONES BÁSICAS,23343.32,23343.32
18,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,RETRIBUCIONES COMPLEMENTARIAS,71911.75,71911.75
19,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,SUELDOS DEL GRUPO A1,15537.97,15537.97
20,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,SUELDOS DEL GRUPO C1,0,0
21,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,SUELDOS DEL GRUPO C2,33899.3,33899.3
22,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,TRIENIOS,9430.7,9430.7
