Gastos,Centro,Descripcion Centro,wikicentro,Seccion,Descripcion Seccion,wikipoblacion,wikicoordenadas,wikisuperficie,wikiseccion,Programa,Descripcion Programa,Capitulo,Descripcion Capitulo,Descripcion Economico,C_DISPUESTO,OBL_RECONOC
5851,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,211,Carabanchel,243998.0,"40.383669444444,-3.7279888888889",14.048315736132,https://www.wikidata.org/wiki/Q1001991,15322,OTRAS ACTUACIONES EN VIAS PUBLICAS,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,ARRENDAMIENTOS DE OTRO INMOVILIZADO MATERIAL,13580.42,13580.42
5852,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,211,Carabanchel,243998.0,"40.383669444444,-3.7279888888889",14.048315736132,https://www.wikidata.org/wiki/Q1001991,15322,OTRAS ACTUACIONES EN VIAS PUBLICAS,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,REP.MANT. Y CONSERV. BIENES DESTINADOS USO GENERAL,237911.21,236466.42
5853,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,211,Carabanchel,243998.0,"40.383669444444,-3.7279888888889",14.048315736132,https://www.wikidata.org/wiki/Q1001991,15322,OTRAS ACTUACIONES EN VIAS PUBLICAS,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,REP. MANT. Y CONSERV. DE VIAS PUBL. A CARGO PARTIC,41713.57,0
5854,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,211,Carabanchel,243998.0,"40.383669444444,-3.7279888888889",14.048315736132,https://www.wikidata.org/wiki/Q1001991,15322,OTRAS ACTUACIONES EN VIAS PUBLICAS,6,INVERSIONES REALES,OTRAS INVERS. NUEVAS EN INFR.Y BIENES USO GENERAL,17843.77,17843.77
5855,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,211,Carabanchel,243998.0,"40.383669444444,-3.7279888888889",14.048315736132,https://www.wikidata.org/wiki/Q1001991,15322,OTRAS ACTUACIONES EN VIAS PUBLICAS,6,INVERSIONES REALES,VIALES (REMODELACION),1282100.35,0
5856,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,211,Carabanchel,243998.0,"40.383669444444,-3.7279888888889",14.048315736132,https://www.wikidata.org/wiki/Q1001991,17102,ZONAS VERDES,6,INVERSIONES REALES,ZONAS AJARDINADAS (REM),296819.43,0
5857,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,211,Carabanchel,243998.0,"40.383669444444,-3.7279888888889",14.048315736132,https://www.wikidata.org/wiki/Q1001991,23102,FAMILIA E INFANCIA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,OTROS TRABAJOS REALIZADOS POR OTRAS EMP. Y PROF.,457023.13,431468.03
5858,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,211,Carabanchel,243998.0,"40.383669444444,-3.7279888888889",14.048315736132,https://www.wikidata.org/wiki/Q1001991,23102,FAMILIA E INFANCIA,4,TRANSFERENCIAS CORRIENTES,OTRAS TRANSFERENCIAS A FAMILIAS,435318.51,380801.85
5859,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,211,Carabanchel,243998.0,"40.383669444444,-3.7279888888889",14.048315736132,https://www.wikidata.org/wiki/Q1001991,23102,FAMILIA E INFANCIA,4,TRANSFERENCIAS CORRIENTES,OTRAS TRANSFERENCIAS  A INSTITUC. SIN FINES  LUCRO,300000,300000
5860,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,211,Carabanchel,243998.0,"40.383669444444,-3.7279888888889",14.048315736132,https://www.wikidata.org/wiki/Q1001991,23102,FAMILIA E INFANCIA,7,TRANSFERENCIAS DE CAPITAL,OTRAS TRANSFERENCIAS DE CAPITAL A FAMILIAS,41360.34,31661.23
5861,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,211,Carabanchel,243998.0,"40.383669444444,-3.7279888888889",14.048315736132,https://www.wikidata.org/wiki/Q1001991,23103,PERSONAS MAYORES Y SERVICIOS SOCIALES,1,GASTOS DE PERSONAL,SUELDOS DEL GRUPO A2,0,0
5862,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,211,Carabanchel,243998.0,"40.383669444444,-3.7279888888889",14.048315736132,https://www.wikidata.org/wiki/Q1001991,23103,PERSONAS MAYORES Y SERVICIOS SOCIALES,1,GASTOS DE PERSONAL,COMPLEMENTO DE DESTINO,0,0
