Economico,ingresos,Centro,Descripcion Centro,wikicentro,Capitulo,Descripcion Capitulo,Descripcion Economico,PREV.DEFINITIV,RECAUDADO
0000,0,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,1,IMPUESTOS DIRECTOS,IMPUESTO SOBRE LA RENTA DE LAS PERSONAS FÍSICAS,130870793,154049253
0001,1,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,1,IMPUESTOS DIRECTOS,IMPUESTO S/BIENES INMUEBLES DE NATURALEZA RÚSTICA,643044,546520.39
0002,2,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,1,IMPUESTOS DIRECTOS,IMPUESTO S/ BIENES INMUEBLES DE NATURALEZA URBANA,1426693904,1364511829
0003,3,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,1,IMPUESTOS DIRECTOS,IMPUESTO S/ BIENES INMUEBLES CARACTER. ESPECIALES,51261112,5.067498544E7
0004,4,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,1,IMPUESTOS DIRECTOS,IMPUESTO SOBRE VEHÍCULOS DE TRACCIÓN MECÁNICA,134296479,1.166971898E8
0005,5,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,1,IMPUESTOS DIRECTOS,IMPUESTO S/ EL INCREMENTO DE VALOR DE LOS TERRENOS,516768594,5.107890183E8
0006,6,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,1,IMPUESTOS DIRECTOS,ACTIVIDADES EMPRESARIALES,130429658,1.208547192E8
0007,7,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,1,IMPUESTOS DIRECTOS,ACTIVIDADES PROFESIONALES Y ARTÍSTICAS,1474,2443.34
0008,8,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,1,IMPUESTOS DIRECTOS,IMPUESTOS DIRECTOS EXTINGUIDOS,2264,5792.31
0009,9,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,2,IMPUESTOS INDIRECTOS,IMPUESTO SOBRE EL VALOR AÑADIDO,72879975,7.322950312E7
0010,10,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,2,IMPUESTOS INDIRECTOS,IMPUESTO SOBRE EL ALCOHOL Y BEBIDAS DERIVADAS,913639,827265.86
0011,11,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,2,IMPUESTOS INDIRECTOS,IMPUESTO SOBRE LA CERVEZA,337135,326143.19
0012,12,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,2,IMPUESTOS INDIRECTOS,IMPUESTO SOBRE LABORES DE TABACO,6538827,5375130.33
0013,13,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,2,IMPUESTOS INDIRECTOS,IMPUESTO SOBRE HIDROCARBUROS,7728220,7228464.3
0014,14,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,2,IMPUESTOS INDIRECTOS,IMPUESTO SOBRE PRODUCTOS INTERMEDIOS,21829,19434.96
0015,15,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,2,IMPUESTOS INDIRECTOS,"IMPUESTO S/CONSTRUCCIONES, INSTALAC. Y OBRAS",88429503,104184111
0016,16,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,2,IMPUESTOS INDIRECTOS,IMPUESTO COTOS DE CAZA Y PESCA,329,354.89
0017,17,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,3,TASAS Y OTROS INGRESOS,RETIRADA CONTENEDORES DE LA VÍA PÚBLICA,116015,102082.1
0018,18,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,3,TASAS Y OTROS INGRESOS,TASA POR GESTIÓN DE RESIDUOS,39824937,3.508326415E7
0019,19,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,3,TASAS Y OTROS INGRESOS,VERTEDERO,2602365,2072246
0020,20,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,3,TASAS Y OTROS INGRESOS,RECOGIDA DE DESECHOS E INCINERACIÓN,78306,57188.7
0021,21,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,3,TASAS Y OTROS INGRESOS,SERVICIOS DE HIGIENE Y SALUD PÚBLICA,108842,67745.84
0022,22,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,3,TASAS Y OTROS INGRESOS,MANTENIMIENTO DEL SERVICIO DE BOMBEROS,16368000,1.674367621E7
0023,23,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,3,TASAS Y OTROS INGRESOS,BOLETIN AYUNTAMIENTO DE MADRID,3000,1196.3
0024,24,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,3,TASAS Y OTROS INGRESOS,CENTRO MUNICIPAL DE ACÚSTICA,10070,656.01
0025,25,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,3,TASAS Y OTROS INGRESOS,TRANSPORTES ESPECIALES,11204,16371
0026,26,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,3,TASAS Y OTROS INGRESOS,"COPIAS, FOTOCOPIAS Y FOTOGRAFÍAS",123189,70826.55
0027,27,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,3,TASAS Y OTROS INGRESOS,GALERIAS MUNICIPALES DE SERVICIOS,482616,2516478.47
0028,28,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,3,TASAS Y OTROS INGRESOS,DERECHOS DE EXAMEN,196250,282429.11
0029,29,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,3,TASAS Y OTROS INGRESOS,TASAS EXTINGUIDAS SERV. PÚBLICOS BÁSICOS,0,-53845.92
0030,30,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,3,TASAS Y OTROS INGRESOS,SERVICIOS SANITARIOS,922078,999404.24
0031,31,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,3,TASAS Y OTROS INGRESOS,PLANETARIO DE MADRID,500000,355902.62
0032,32,1,Ayuntamiento de Madrid,https://www.wikidata.org/wiki/Q3773976,3,TASAS Y OTROS INGRESOS,MATRIMONIOS CIVILES,204431,194170
