OrganisationName,OrganisationCode,EffectiveDate,FinancialYear,Department,Payee,Language,Amount
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2011/12,Food Safety,,Chinese,£438.47
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2011/12,Environmental Health,MK Transcribing Services ,Transcription of Interview Tapes,£14.00
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2011/12,Corporate Management,Leicester City Council,Gujarati and Punjabi,£60.00
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2011/12,Communications,Language Line,Telephone Interpreting Service - Annual Subscription,£295.00
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2011/12,Performance Management,Leicester City Council,"Chinese, Gujarati, Hindi, Polish, Punjabi and Urdu",£270.00
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2011/12,Community Safety,Leicester City Council,Polish,£168.00
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2011/12,Council Tax,Vista ,Braille,£21.00
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2011/12,Benefits,Vista ,Braille,£20.00
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2011/12,Corporate Fraud,MK Transcribing Services ,Transcription of Interview Tapes,"£1,029.00"
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2011/12,Section 5,MK Transcribing Services ,Transcription of Interview Tapes,£50.00
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2011/12,Envirocrime,MK Transcribing Services ,Transcription of Interview Tapes,£20.00
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2011/12,Environmental Health ,MK Transcribing Services ,Transcription of Interview Tapes,£14.00
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2011/12,,,TOTAL ,"£2,399.47"
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2012/13,Benefits,Language Line,Telephone Interpreting Service,£17.00
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2012/13,Communications,Language Line,Telephone Interpreting Service - Annual Subscription,£295.00
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2012/13,Council Tax,Vista ,Braille,£6.00
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2012/13,Benefits,Vista ,Braille,£4.00
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2012/13,Envirocrime,MK Transcribing Services ,Transcription of Interview Tapes,£217.00
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2012/13,Corporate Fraud,MK Transcribing Services ,Transcription of Interview Tapes,£615.00
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2012/13,Licencing,MK Transcribing Services ,Transcription of Interview Tapes,£52.00
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2012/13,Environmental Health ,MK Transcribing Services ,Transcription of Interview Tapes,£135.00
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2012/13,Community Safety,Leicester City Council,Polish ,£336.00
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2012/13,Building Control,Leicester City Council,Punjabi,£71.00
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2012/13,Environmental Health ,Leicester City Council,Slovakian,£108.00
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2012/13,Environmental Health ,Leicester City Council,Translation of letter in Punjabi,£90.00
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2012/13,Food Safety,,Chinese,£325.00
Blaby,http://opendatacommunities.org/id/district-council/blaby,01/12/2017,2012/13,,,TOTAL ,"£2,271.00"
