Residuos Urbanos de las e-DMAs E-PRTR 2012;;;;;;;;;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;CNAE'09;CNAE Ppal;E-PRTR;E-PRTR Ppal;SNAP;SNAP Ppal;LER;Descripción LER;7 tablas;Tipo Residuo;Cantidad;Unidad
2012;A50010263;ARAGONESA DE PIENSOS;0100002301;ARAGONESA DE PIENSOS S.A.;Berantevilla;1012;1;8.a;1;100904;1;200301;Mezclas de residuos municipales;R13;Urbano;216000;KG
2012;B01415694;BIONOR BERANTEVILLA;0100012609;Bionor Berantevilla;Berantevilla;2014;1;4.a.ii;1;040526;1;200301;Mezclas de residuos municipales;D5;Urbano;0;KG
2012;A01129303;CELAYA EMPARANZA Y GALDOS INTERNACIONAL S.A.;0100000340;CEGASA;Vitoria-Gasteiz;2720;1;2.b;1;040306;1;200301;Mezclas de residuos municipales;D1;Urbano;68960;KG
2012;A01048354;CERAMICA MARLO, S.A.;0100006411;CERAMICA MARLO, S.A;Armiñón;2332;1;3.g;1;030319;1;200301;Mezclas de residuos municipales;D2;Urbano;980;KG
2012;A01048354;CERAMICA MARLO, S.A.;0100006411;CERAMICA MARLO, S.A;Armiñón;2332;1;3.g;1;030319;1;200101;Papel y cartón;D2;Urbano;815;KG
2012;A01048354;CERAMICA MARLO, S.A.;0100006411;CERAMICA MARLO, S.A;Armiñón;2332;1;3.g;1;030319;1;160119;Plástico;D2;Urbano;125;KG
2012;B01002971;COMPAÑIA DE BEBIDAS PEPSICO;0100002258;COMPAÑIA DE BEBIDAS PEPSICO S.L.;Zigoitia;1107;1;8.b.ii;1;100904;1;200301;Mezclas de residuos municipales;D1;Urbano;26360;KG
2012;A01156942;CONDESA FABRIL, S.A.;0100000394;CONDESA FABRIL, S.A.;Legutiano;2420;1;2.f;1;040308;1;200301;Mezclas de residuos municipales;R13;Urbano;19800;KG
2012;A48045900;DEGUISA;0100000543;DEGUISA, S.A;Amurrio;2320;1;3.g;1;030320;1;200301;Mezclas de residuos municipales;R13;Urbano;1533;KG
2012;A01169523;DEKITRA;0100002521;DEKITRA;Lantarón;2013;1;5.a;1;091001;1;061399;Residuos no especificados en otra categoría;D5;Urbano;46180;KG
2012;B01225325;ECN CABLE GROUP;0100002259;ECN CABLE GROUP;Vitoria-Gasteiz;2732;1;2.e.ii;1;040306;1;200301;Mezclas de residuos municipales;D12;Urbano;85470;KG
2012;B01311372;FELIX MARTINEZ DE LECEA;0100001358;FELIX MARTINEZ DE LECEA S.L.;Lantarón;3299;1;4.f.1;1;040527;1;200201;Residuos biodegradables;D5;Urbano;700;KG
2012;B01311372;FELIX MARTINEZ DE LECEA;0100001358;FELIX MARTINEZ DE LECEA S.L.;Lantarón;3299;1;4.f.1;1;040527;1;200399;Residuos municipales no especificados en otra categoría;D5;Urbano;800;KG
2012;B01129626;FUNDIAL;0100001001;FUNDIAL, S.L.U.;Legutiano;2442;1;2.e.ii;1;040306;1;200301;Mezclas de residuos municipales;D1;Urbano;110000;KG
